Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,Andre Pegues,WR,Norfolk State,MEAC,1.143,1.143,0.585,1.031,1.894,0.645,1.034,1.299,19.433,19.433,0,9.278,7.576,2.579,10.338,9.094,300,0
2023,Peyton Sawyer,WR,Houston,B12,-0.921,-0.921,-0.525,-0.921,-0.925,-0.111,-0.921,-0.034,-0.921,-0.921,0,-0.921,0,0,-0.921,0,300,0
2023,Johnny Langan,TE,Rutgers,Big Ten,0.55,0.55,-0.169,0.39,0.635,0.892,0.328,0.95,7.7,7.7,0,3.119,1.906,2.675,2.951,4.748,300,0
2023,David Bailey,RB,Texas A&M,SEC,0.669,1.848,0.434,0.328,-0.022,1.528,0.434,1.848,4.017,1.848,2.169,0.984,-0.022,3.055,2.169,1.848,2,0
2023,Jehlani Galloway,WR,Western Michigan,MAC,0.295,0.295,0.081,0.151,-0.299,0.76,0.295,0.385,3.248,3.248,0,1.059,-0.898,0,3.248,0,300,0
2023,Emory Jones,QB,Cincinnati,B12,0.279,0.259,0.332,0.105,0.257,0.586,0.159,0.498,121.894,81.736,40.158,17.888,35.218,65.664,44.764,77.13,300,0
2023,Dante Lang,TE,Florida,SEC,-3.718,-3.718,-2.654,-3.693,-2.325,-2.181,-3.718,-2.012,-3.718,-3.718,0,0,0,0,-3.718,0,300,0
2023,Tanner Mordecai,QB,Wisconsin,Big Ten,0.207,0.21,0.195,0.161,0.127,0.463,0.179,0.258,81.544,67.101,14.444,24.65,16.941,46.808,45.641,35.904,300,0
2023,Jaylon Robinson,WR,TCU,B12,0.732,0.775,-0.587,0.668,0.37,1.536,0.503,0.91,23.423,24.011,-0.587,7.35,3.326,16.896,7.041,16.383,300,0
2023,Drake Stoops,WR,Oklahoma,B12,0.744,0.802,-0.625,0.714,0.505,1.267,0.646,0.905,72.898,75.399,-2.501,32.132,14.639,27.873,39.41,33.488,300,0
2023,D'Ante' Cox,WR,Southern Illinois,MVFC,1.117,1.117,0.325,1.077,0.596,1.379,0.978,1.297,35.757,35.757,0,12.92,5.36,13.785,17.597,18.16,300,0
2023,Jarett Garner,WR,East Carolina,AAC,0.076,0.076,0.134,0.157,0.076,0.278,0.076,0.321,0.076,0.076,0,0,0.076,0,0.076,0,300,0
2023,Michael Penix Jr.,QB,Washington,PAC,0.461,0.462,0.441,0.355,0.452,0.671,0.435,0.511,253.929,242.012,11.917,91.512,74.616,79.215,158.343,95.586,8,0
2023,Ronnie Walker Jr.,RB,Utah Tech,UAC,0.083,0.492,0.068,0.083,-0.008,0.346,0.108,-0.101,9.262,1.969,7.292,5.528,-0.253,4.15,10.578,-1.316,300,0
2023,Jacolby Hewitt,WR,Alabama A&M,SWAC,0.843,0.843,0.212,0.471,1.627,0.143,0.59,1.18,23.603,23.603,0,4.709,17.895,0.999,9.443,14.16,300,0
2023,Geordon Porter,WR,UConn,Ind,0.577,0.618,0.383,0.68,0.593,0.428,0.399,0.869,16.747,14.831,1.917,6.799,6.524,3.424,7.188,9.559,300,0
2023,Nico Ragaini,WR,Iowa,Big Ten,0.271,0.36,-0.949,0.133,0.204,0.691,-0.122,0.664,11.908,14.756,-2.848,2.125,2.658,9.667,-2.692,14.6,300,0
2023,Samson Evans,RB,Eastern Michigan,MAC,0.181,0.156,0.184,0.066,0.129,0.406,0.215,0.05,26.598,2.34,24.258,4.475,4.894,14.612,25.113,1.485,300,0
2023,Tyrone Tracy Jr.,RB,Purdue,Big Ten,0.252,0.3,0.244,0.208,0.288,0.733,0.173,0.58,31.014,5.395,25.619,12.476,12.114,12.453,17.084,13.93,166,1
2023,TaMerik Williams,RB,North Dakota State,MVFC,0.071,0.373,0.052,0.142,0.276,-0.156,0.087,-0.032,8.227,2.611,5.616,10.349,8.003,-1.712,8.736,-0.509,300,0
2023,Dontae Smith,RB,Georgia Tech,ACC,0.347,0.918,0.291,-0.009,0.413,1.14,0.294,0.575,34.998,8.258,26.74,-0.472,11.569,20.523,24.077,10.921,300,0
2023,Jeshaun Jones,WR,Maryland,Big Ten,0.95,0.983,-1.09,0.988,0.61,1.191,0.899,1.027,59.844,60.934,-1.09,28.656,10.371,19.053,34.163,25.681,300,0
2023,Dimitri Stanley,WR,Iowa State,B12,0.536,0.536,-0.017,0.209,0.121,1.295,0.2,0.704,8.039,8.039,0,0.834,0.728,6.477,1.001,7.038,300,0
2023,Blake Stenstrom,QB,Princeton,Ivy,0.273,0.315,-0.011,0.059,0.301,0.46,0.151,0.408,104.036,104.572,-0.537,8.05,38.181,50.105,30.184,73.852,300,0
2023,Deion Smith,RB,BYU,B12,0.048,0.397,-0.117,0.364,-0.343,0.306,0.162,-0.157,1.351,3.575,-2.224,3.635,-4.121,1.836,2.923,-1.573,300,0
2023,Tyler Shough,QB,Texas Tech,B12,0.222,0.183,0.338,0.046,0.089,0.64,0.211,0.245,34.214,21.028,13.185,3.092,4.434,21.106,21.492,12.722,40,0
2023,Joe Milton,QB,Tennessee,SEC,0.448,0.432,0.534,0.412,0.415,0.685,0.411,0.51,175.049,143.018,32.031,69.637,49.405,65.76,100.607,74.442,193,1
2023,I'Shawn Stewart,WR,Illinois State,MVFC,0.496,1.19,-0.892,1.19,-0.892,0.574,1.19,-0.892,1.488,2.38,-0.892,2.38,-0.892,0,2.38,-0.892,300,0
