Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2023,CB,Secondary,Pittsburgh,ACC,70.375,193,9.5,30.75,4.43,35.5,15,7.04,1,1687,61.732,0,0,1,0.9260755
2025,CB,Secondary,Flordia State,ACC,73.5,197,10.0,32.375,4.63,36.57,12,6.65,1,1363,35.518,0,0,1,0.9035553
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,4.46,28.47,33,8.19,0,2154,88.314,0,0,1,0.9703188
2025,TE,Skill,Clemson,ACC,77.625,241,8.5,31.375,4.75,31.0,33,8.19,1,1807,79.193,0,0,0,0.8308206
2023,TE,Skill,Georgia,SEC,78.625,264,11.0,34.375,4.64,31.0,21,6.75,1,2300,93.511,0,0,1,0.9816745
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,4.48,37.0,13,6.83,1,1344,40.095,0,0,0,0.48156643
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,32.875,4.45,38.5,15,7.12,1,1404,43.622,0,0,1,0.96684885
2025,DL,DL,Iowa,Big Ten,77.75,336,10.25,35.0,5.39,25.5,11,7.63,1,1774,70.238,0,0,1,0.9059595
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,4.52,36.0,15,6.51,1,1237,38.149,0,0,1,0.9867857
2024,DL,DL,Baylor,Big 12,78.0,291,9.5,34.5,5.03,31.5,27,7.65,1,1384,30.445,0,0,0,0.40218404
2025,DL,DL,South Carolina,SEC,75.875,297,10.25,33.125,4.28,31.5,31,7.7,1,1810,76.206,0,0,1,0.9610092
2023,WR,Skill,Florida,SEC,76.0,229,10.0,33.75,4.55,35.5,18,6.97,1,1581,60.994,0,0,1,0.59564114
2023,TE,Skill,Michigan,Big Ten,77.25,251,9.0,32.875,4.63,33.5,21,6.75,1,2124,85.085,1,0,1,0.987301
2025,WR,Skill,Utah State,Mountain West,72.0,205,9.5,30.125,4.42,35.58,13,7.24,1,1362,26.445,0,0,1,0.7908209
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,4.62,35.5,20,7.11,1,2300,93.511,0,0,1,0.5182126
2025,EDGE,DL,Texas,SEC,75.25,256,9.25,33.25,4.68,34.0,28,7.06,1,2042,88.25,0,0,1,0.7170997
2024,RB,Skill,Florida St.,ACC,72.25,216,9.25,31.5,4.39,33.5,22,6.98,1,1789,83.68,0,0,1,0.9255676
2023,LB,LB,North Carolina St.,ACC,74.0,233,9.125,31.75,4.52,35.0,26,7.4,1,1586,61.626,0,0,0,0.9052762
2025,DL,DL,South Carolina,SEC,74.875,284,9.0,33.0,5.45,32.0,33,7.36,1,1810,76.206,0,0,1,0.20713596
2025,DL,DL,Boston College,ACC,74.75,312,9.5,33.0,5.3,31.5,11,8.19,1,1513,61.35,0,0,0,0.749956
2024,S,Secondary,Washington,Pac-12,74.375,215,10.0,33.25,4.51,39.0,16,6.83,1,1879,82.666,0,0,1,0.9203191
2025,C,OL,Kentucky,SEC,76.25,306,9.25,31.0,4.84,32.5,22,7.63,1,1498,54.684,0,0,0,0.70112026
2023,EDGE,DL,Florida A&M,SWAC,75.5,236,9.25,32.5,4.62,34.5,21,7.2,1,1675,63.765,0,0,0,0.4732917
2023,OT,OL,Arkansas,SEC,80.0,320,10.5,34.375,5.24,24.5,20,7.61,1,1686,62.299,0,0,0,0.94500977
2025,QB,Skill,Notre Dame,FBS Independent,75.75,216,9.5,31.5,4.28,43.0,22,8.19,0,2154,88.314,0,0,1,0.9626666
