Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,TE,Skill,FBS Independent,77.375,241,9.5,77.0,4.74,31.0,33,115.0,7.25,4.4,1,25.305,88.314,0,0,Rounds 6-7,1,0.29488684068546256,12,18.59504132231405,20.689655172413794
2023,EDGE,DL,Sun Belt,76.5,248,10.0,81.25,4.67,29.0,23,116.0,7.35,4.44,1,-2.136,45.745,0,0,Rounds 6-7,1,0.2944696072341804,13,19.00826446280992,22.413793103448278
2025,RB,Skill,SEC,68.75,198,9.5,70.5,4.42,35.0,15,124.0,6.65,4.03,1,22.091,82.861,1,0,Rounds 4-5,0,0.2939666683507394,13,19.421487603305785,22.413793103448278
2025,WR,Skill,Big 12,76.125,214,9.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,10.15,66.812,0,0,Rounds 2-3,0,0.2937798954191114,13,19.834710743801654,22.413793103448278
2023,RB,Skill,Pac-12,70.0,201,9.25,70.25,4.46,35.5,20,122.0,7.16,4.61,0,13.164,77.414,0,0,Undrafted,0,0.2935338439301842,13,20.24793388429752,22.413793103448278
2025,WR,Skill,FBS Independent,75.0,201,9.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,25.305,88.314,0,0,Undrafted,0,0.293464517593106,13,20.66115702479339,22.413793103448278
2023,EDGE,DL,SEC,75.875,250,9.25,80.75,4.82,33.0,24,115.0,7.22,4.44,1,7.555,60.994,0,0,Undrafted,0,0.29336132700178547,13,21.074380165289256,22.413793103448278
2025,WR,Skill,Big 12,68.125,174,8.625,74.5,4.46,38.0,27,128.0,6.65,4.41,1,12.691,74.938,0,0,Rounds 6-7,1,0.29294753970474546,14,21.487603305785125,24.137931034482758
2024,WR,Skill,Pac-12,74.375,208,9.625,78.0,4.5,36.5,13,119.0,6.86,4.12,1,13.091,69.753,0,0,Rounds 6-7,1,0.292730631683657,15,21.90082644628099,25.862068965517242
2025,WR,Skill,SEC,70.0,185,9.25,75.625,4.4,33.5,11,120.0,6.9,4.03,1,22.091,82.861,1,0,Rounds 6-7,1,0.29250911762780724,16,22.31404958677686,27.586206896551722
2023,OT,OL,Mountain West,77.75,309,10.75,83.625,5.24,28.5,20,104.0,7.52,4.52,1,3.797,52.954,0,0,Undrafted,0,0.29197199733643003,16,22.727272727272727,27.586206896551722
2025,RB,Skill,ACC,71.75,221,9.375,74.75,4.46,38.0,18,130.0,6.75,4.4,1,2.602,50.555,0,0,Round 1,0,0.29194358337637294,16,23.140495867768596,27.586206896551722
2025,S,Secondary,Mountain West,70.625,202,9.5,75.25,4.41,41.5,18,128.0,6.65,4.14,1,-8.417,32.498,0,0,Rounds 6-7,1,0.2916097697341831,17,23.553719008264462,29.310344827586203
2025,CB,Secondary,Big 12,70.25,191,8.375,72.625,4.41,43.0,15,123.2,6.9,4.03,1,5.283,53.294,0,0,Rounds 4-5,0,0.2915322410293359,17,23.96694214876033,29.310344827586203
2023,IOL,OL,SoCon,78.0,324,10.25,83.875,5.24,26.5,20,105.0,7.7,4.97,1,11.336,69.68,0,0,Undrafted,0,0.29152928503187214,17,24.380165289256198,29.310344827586203
2024,LB,LB,Big Ten,74.25,238,9.375,77.5,4.62,34.5,18,119.0,7.4,4.38,0,27.625,94.395,0,0,Rounds 2-3,0,0.29147117775690146,17,24.793388429752067,29.310344827586203
2023,RB,Skill,AAC,67.875,179,9.25,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1.775,54.675,0,0,Undrafted,0,0.29056632001445826,17,25.206611570247933,29.310344827586203
2025,WR,Skill,ACC,76.25,213,9.0,79.125,4.5,32.5,18,122.0,7.1,4.3,1,8.853,70.514,0,0,Undrafted,0,0.290254764132763,17,25.6198347107438,29.310344827586203
2023,TE,Skill,AAC,78.5,248,9.5,77.375,4.69,33.5,21,115.0,7.42,4.29,1,6.451,60.989,0,0,Rounds 4-5,0,0.29014216347247274,17,26.033057851239672,29.310344827586203
2023,WR,Skill,AAC,73.5,224,10.25,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1.775,54.675,0,0,Undrafted,0,0.29001324133204115,17,26.446280991735538,29.310344827586203
2023,LB,LB,Big 12,71.0,227,8.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,14.378,80.5,0,0,Rounds 6-7,1,0.2899450126480269,18,26.859504132231404,31.03448275862069
2025,CB,Secondary,ACC,70.75,189,8.75,75.0,4.45,37.75,11,122.3,6.65,4.97,1,4.302,57.687,0,0,Rounds 6-7,1,0.2898403147821785,19,27.27272727272727,32.758620689655174
2025,DL,DL,Big Ten,75.75,306,10.0,82.625,5.09,28.0,11,103.0,8.19,4.03,1,-0.535,43.23,0,0,Rounds 6-7,1,0.28968373103671474,20,27.685950413223143,34.48275862068966
