Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2023,EDGE,DL,Pittsburgh,ACC,76.25,251,10.5,33.0,4.78,35.0,21,7.11,1,1687,61.732,0,0,0,0.5319506600550228
2024,K,Special Teams,Missouri,SEC,71.875,241,8.875,30.75,4.75,33.5,21,7.29,0,1866,78.168,0,0,0,0.46615336445538
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,33.25,4.28,35.5,26,8.19,1,1496,50.555,0,0,0,0.5968666747862851
2023,QB,Skill,Stanford,Pac-12,78.0,231,9.375,32.875,4.57,33.0,20,7.22,1,1237,38.149,0,0,1,0.4464685529904217
2025,RB,Skill,Florida,SEC,71.375,212,9.25,30.625,4.41,35.5,33,7.02,1,1767,71.717,0,0,0,0.5612339348204575
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,31.375,4.43,43.0,12,8.19,0,1701,74.938,0,1,1,0.7022101292954473
2025,DL,DL,Ole Miss,SEC,75.75,296,9.5,32.5,5.45,24.5,33,6.65,0,2007,84.235,1,1,1,0.7569874281430253
2024,DL,DL,Mississippi St.,SEC,75.875,301,9.5,33.0,4.97,29.5,27,7.32,1,1421,45.573,0,0,1,0.4009277131664106
2025,OT,OL,Florida,SEC,79.25,316,10.5,34.0,5.33,24.5,11,8.15,1,1767,71.717,0,0,0,0.5736859997844252
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,34.625,4.99,34.0,30,7.58,1,1631,59.244,0,0,1,0.5332279011041458
2023,CB,Secondary,Georgia,SEC,70.625,192,9.625,31.125,4.62,33.0,15,7.17,1,2300,93.511,0,0,1,0.5024754568845923
2024,WR,Skill,Colorado,Pac-12,72.25,169,8.875,31.125,4.39,37.5,13,6.91,0,1237,44.305,0,0,0,0.5773798815146137
2025,S,Secondary,Wisconsin,Big Ten,74.0,213,9.25,30.5,4.57,37.0,11,6.72,1,1554,55.118,0,0,1,0.5288846054985785
2025,RB,Skill,UCF,Big 12,68.0,205,9.0,29.0,4.4,38.0,16,7.34,1,1557,53.294,0,1,1,0.6071049761580214
2025,RB,Skill,Ohio State,Big Ten,71.625,221,9.25,30.25,4.48,38.5,33,6.89,1,2211,87.333,1,0,1,0.7479001131763708
2024,OT,OL,Georgia,SEC,79.75,340,11.25,36.125,5.07,25.5,30,7.46,1,2273,87.417,1,0,1,0.7366640515865233
2025,IOL,OL,Jacksonville State,Conference USA,75.25,312,10.0,32.0,5.11,31.0,29,6.65,1,1744,69.69,0,0,0,0.5300747336792038
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,33.0,5.14,27.0,28,7.68,1,1611,65.787,0,0,0,0.42750230936096834
2025,RB,Skill,SMU,ACC,69.875,194,8.625,30.5,4.39,32.5,33,7.45,1,1826,78.712,0,0,1,0.6355765037528398
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,4.63,34.0,18,6.97,1,1729,80.5,0,0,1,0.49765341063689206
2024,QB,Skill,Notre Dame,FBS Independent,73.125,211,9.75,31.375,4.8,28.5,12,7.19,1,2077,83.947,1,0,0,0.5692452146622282
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,38.625,4.6,34.5,11,7.58,1,1533,55.405,0,0,1,0.5168438425532509
2025,S,Secondary,Clemson,ACC,72.0,199,8.75,32.25,4.49,41.5,21,7.23,1,1807,79.193,0,0,1,0.6639390561551031
2025,DL,DL,Georgia,SEC,75.375,290,9.125,33.0,4.86,32.0,33,7.38,1,1998,82.861,1,0,0,0.6702913275051822
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,4.46,36.5,33,7.28,1,1810,76.206,0,0,0,0.5532729211808819
2024,CB,Secondary,Boston Col.,ACC,73.5,185,9.25,31.5,4.44,42.5,15,6.95,1,1345,38.527,0,0,1,0.6447660164568694
2023,LB,LB,Alabama,SEC,73.0,227,10.25,32.75,4.62,32.0,20,7.44,1,2181,89.526,1,0,1,0.5773567291534261
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,4.5,32.5,18,7.1,1,1647,70.514,0,0,0,0.5153665535603039
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,4.61,35.0,28,7.06,1,1822,73.172,0,0,1,0.534880878428478
2023,WR,Skill,Penn St.,Big Ten,70.0,204,10.125,29.0,4.52,35.5,16,6.94,1,2000,82.964,0,0,1,0.5701608170439352
2025,CB,Secondary,California,ACC,72.375,199,9.0,30.625,4.5,41.09,19,6.65,1,1529,57.687,0,0,1,0.6477371405036464
2024,EDGE,DL,Colorado St.,Mountain West,73.375,248,8.625,32.375,4.57,34.5,23,7.4,1,1276,30.563,0,0,1,0.40699298009748147
2025,OT,OL,Rutgers,Big Ten,80.375,341,9.75,36.0,4.28,29.5,33,6.65,0,1533,55.405,0,0,0,0.62399821098997
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,4.97,30.0,20,7.6,1,2300,93.511,0,0,1,0.6906542904355643
2023,EDGE,DL,Tennessee,SEC,74.375,250,9.25,32.5,4.43,38.0,22,7.19,1,2000,84.959,0,0,1,0.6599893909117373
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,4.38,41.5,14,6.89,1,1724,78.17,0,1,1,0.7267589558850791
2024,S,Secondary,Auburn,SEC,71.625,179,9.875,32.375,4.45,39.5,13,7.22,1,1585,67.536,0,0,1,0.700547349466719
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,4.43,35.0,25,7.28,1,1843,74.958,0,0,1,0.6417604539471363
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,4.95,35.0,21,7.44,1,1866,78.168,0,0,1,0.6409810580733247
2023,WR,Skill,USC,Pac-12,71.125,173,8.75,30.875,4.49,34.0,13,6.91,1,1745,77.414,0,1,1,0.6508540096897374
2025,OT,OL,Arizona,Big 12,76.125,324,10.25,33.75,4.95,29.0,18,7.28,1,1307,38.477,0,1,1,0.6234751575707866
2025,WR,Skill,UCF,Big 12,72.75,193,9.0,30.5,4.57,35.0,17,6.85,1,1557,53.294,0,0,0,0.4324910337827347
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,33.625,4.78,32.5,28,6.83,1,1276,30.563,0,0,0,0.39202904478583045
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,4.28,35.5,22,6.94,1,1513,61.35,0,0,1,0.6121000532413274
2024,OT,OL,Houston,Big 12,79.5,331,9.375,36.25,5.13,29.0,28,7.65,1,1421,42.491,0,0,1,0.4876309702372306
2023,WR,Skill,Penn St.,Big Ten,72.0,199,10.0,32.375,4.6,35.5,14,6.93,1,2000,82.964,0,0,0,0.5207502538821741
2024,S,Secondary,LSU,SEC,70.875,191,9.25,30.0,4.59,36.0,15,7.11,1,1985,81.345,0,0,0,0.5732442994246676
2023,CB,Secondary,Florida,SEC,71.625,193,10.0,32.0,4.72,33.5,20,7.08,1,1581,60.994,0,0,0,0.4662475577102217
2025,OT,OL,Wisconsin,Big Ten,79.0,314,10.0,33.5,5.27,36.57,33,8.19,0,1554,55.118,0,0,1,0.5655743966062821
2025,DL,DL,Virginia Tech,ACC,72.5,282,9.625,31.375,4.94,32.5,11,6.65,1,1647,70.514,0,0,1,0.5133071803001353
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,5.01,31.0,30,8.01,1,1871,78.295,0,0,1,0.5660722571272132
