Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2025,DL,DL,Georgia Tech,ACC,77.5,321,10.25,34.75,5.14,34.5,11,6.65,1,1554,66.705,0,0,1,0.5564096165722688
2025,TE,Skill,Pittsburgh,ACC,76.625,246,9.75,31.375,4.7,24.5,33,8.19,1,1456,55.816,0,0,1,0.5056915807034392
2023,IOL,OL,LSU,SEC,76.0,332,9.5,33.5,5.08,30.0,20,7.84,1,1871,78.295,0,0,1,0.4988842432837517
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,4.56,34.0,15,6.62,1,1900,79.1,1,0,1,0.6160111177679316
2024,EDGE,DL,Mississippi,SEC,75.0,260,9.875,33.5,4.63,38.0,25,7.15,1,1737,75.391,0,0,1,0.5673892225414268
2025,LB,LB,North Carolina,ACC,71.125,237,9.125,30.5,4.73,37.0,27,7.6,1,1496,50.555,0,0,0,0.500141479807045
2024,IOL,OL,Ohio St.,Big Ten,75.5,316,9.0,32.625,5.21,28.0,27,8.19,1,2065,89.569,1,0,0,0.5862603584693318
2024,LB,LB,Wyoming,Mountain West,72.375,232,9.25,30.375,4.73,31.5,18,7.28,1,1494,52.814,0,0,0,0.3652364306803151
2023,EDGE,DL,Iowa St.,Big 12,74.5,269,9.25,33.75,4.68,33.0,20,7.43,1,1554,57.494,0,0,0,0.40402062659415683
2025,EDGE,DL,South Carolina,SEC,76.0,254,9.625,34.0,4.73,30.43,23,6.65,1,1810,76.206,0,0,1,0.511814305881236
2023,TE,Skill,Oregon St.,Pac-12,77.875,253,10.375,32.625,4.61,36.0,21,6.75,1,1793,76.446,0,0,1,0.5246052656510002
2024,TE,Skill,Michigan,Big Ten,78.0,251,9.0,33.375,4.65,35.0,28,7.07,0,2210,94.395,0,0,1,0.6246976483275068
2023,DL,DL,Texas,Big 12,73.625,332,9.125,31.5,5.22,27.5,24,7.75,1,1900,79.1,1,0,1,0.5760152728925159
2024,RB,Skill,Alabama,SEC,70.375,221,10.25,31.125,4.54,36.0,20,7.09,1,2032,84.968,0,0,1,0.548574027784138
2025,CB,Secondary,Oregon,Big Ten,69.125,182,9.0,28.5,4.41,35.37,13,7.01,1,2040,85.854,1,0,0,0.6552438978799222
2024,IOL,OL,Michigan,Big Ten,75.875,305,10.125,33.0,5.17,27.0,27,7.78,1,2210,94.395,0,0,0,0.5664300980666686
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,4.28,43.0,22,8.19,0,1855,77.097,1,1,1,0.7293548553865625
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,34.125,5.05,31.0,20,7.6,1,1373,60.21,0,0,0,0.4700318489251461
2024,CB,Secondary,Michigan,Big Ten,69.375,182,8.5,30.875,4.47,40.0,14,6.99,1,2210,94.395,0,0,1,0.6694245993558295
2023,LB,LB,Louisville,ACC,72.625,237,9.25,32.375,4.47,36.5,26,7.38,1,1753,70.137,0,0,1,0.6209946911916763
2024,EDGE,DL,Clemson,ACC,74.25,244,9.125,32.875,4.62,32.5,26,7.48,1,1764,72.489,1,0,1,0.6042260900443609
2023,EDGE,DL,Oklahoma St.,Big 12,76.0,279,10.875,33.25,5.11,28.5,30,7.6,1,1545,60.448,0,0,1,0.4586961933308526
2023,RB,Skill,Kansas St.,Big 12,65.0,179,9.5,27.75,4.36,35.5,20,7.69,1,1861,77.392,0,1,1,0.6399555122079381
2025,OT,OL,Kansas,Big 12,78.375,311,10.0,33.75,5.18,32.0,26,7.75,1,1625,66.926,0,0,0,0.5175370792159635
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,32.75,5.17,31.5,27,7.41,0,1338,38.745,0,0,1,0.46570793637466507
2025,OT,OL,Oregon,Big Ten,76.625,311,10.375,33.5,5.05,34.5,33,6.65,1,2040,85.854,1,1,1,0.8659017489420529
2024,CB,Secondary,Mississippi St.,SEC,74.25,188,8.875,32.375,4.34,35.0,15,6.94,1,1421,45.573,0,0,1,0.5613587011481942
2023,QB,Skill,Louisville,ACC,71.75,192,9.5,31.375,4.53,32.5,20,7.18,1,1753,70.137,0,0,0,0.5315285838010141
2024,IOL,OL,Michigan,Big Ten,77.375,310,10.0,32.375,5.24,30.5,26,7.76,1,2210,94.395,0,0,1,0.5859241793588638
2024,IOL,OL,Boston Col.,ACC,75.375,314,10.5,33.5,5.13,32.5,29,7.81,1,1345,38.527,0,0,1,0.5066344563275097
2025,WR,Skill,Miami,ACC,74.25,200,9.38,31.5,4.44,41.5,14,6.65,1,1855,77.097,1,0,0,0.6302486985515954
2023,RB,Skill,Pittsburgh,ACC,70.0,216,8.25,32.0,4.54,34.5,20,6.94,0,1687,61.732,0,0,1,0.4654122039776227
2023,CB,Secondary,Illinois,Big Ten,71.0,194,9.625,31.125,4.46,44.0,15,6.79,1,1749,68.781,0,0,1,0.6986203645570387
2024,LB,LB,Missouri,SEC,73.75,231,8.875,31.375,4.62,34.0,18,7.23,0,1866,78.168,0,0,1,0.4538474668703593
2025,EDGE,DL,Minnesota,Big Ten,76.25,262,9.375,34.0,4.6,30.0,33,7.33,1,1674,68.599,0,0,0,0.6028668509555775
2025,S,Secondary,Iowa,Big Ten,71.25,203,10.5,30.625,4.59,30.5,11,7.11,1,1774,70.238,0,0,0,0.5271721711758264
2023,C,OL,Troy,Sun Belt,74.75,305,10.0,32.875,5.15,26.0,20,8.06,1,1585,59.594,0,0,1,0.45317814116524024
2024,DL,DL,Clemson,ACC,74.0,301,9.25,31.375,5.02,28.5,29,7.93,1,1764,72.489,1,0,1,0.5980358606247006
2024,WR,Skill,Tulane,AAC,69.125,188,8.875,30.875,4.42,32.0,12,6.9,1,1598,60.759,0,0,1,0.5421086520594968
2023,CB,Secondary,Kansas St.,Big 12,74.75,198,9.625,34.0,4.53,41.5,15,6.63,1,1861,77.392,0,1,1,0.6797105610325332
2024,EDGE,DL,Michigan,Big Ten,77.25,257,10.0,33.125,4.66,34.5,23,7.22,0,2210,94.395,0,0,0,0.6598731051405369
2025,EDGE,DL,Ole Miss,SEC,76.375,244,9.625,33.875,4.72,38.0,29,7.33,1,2007,84.235,1,1,1,0.8192274839748704
2023,RB,Skill,Alabama,SEC,69.125,199,9.25,30.5,4.36,33.5,20,7.32,1,2181,89.526,1,0,1,0.6266252112990219
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,4.99,32.0,27,7.95,1,1654,68.7,0,0,1,0.515986959761697
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,4.88,31.0,22,7.5,1,1581,60.994,0,0,1,0.46480970345564543
2025,EDGE,DL,Central Arkansas,UAC,72.875,263,9.25,31.875,4.69,35.0,26,7.15,1,1742,70.585,0,0,1,0.5072965116270174
2023,CB,Secondary,Penn St.,Big Ten,74.5,193,10.0,34.0,4.46,35.0,17,6.51,1,2000,82.964,0,1,1,0.7424173498658131
2024,RB,Skill,Arizona,Pac-12,70.5,210,9.25,30.0,4.51,33.5,22,6.93,1,1822,73.172,0,0,0,0.5144437772417635
2024,K,Special Teams,Stanford,Pac-12,73.875,207,9.125,31.5,4.5,37.0,17,6.93,0,1180,32.24,0,0,1,0.4678875216499821
2023,EDGE,DL,Mississippi St.,SEC,74.0,263,9.0,32.875,4.65,28.5,23,7.12,1,1694,75.362,0,0,0,0.44987983036290374
2024,TE,Skill,Florida St.,ACC,74.0,241,10.0,33.0,4.61,35.0,28,7.01,1,1789,83.68,0,0,1,0.5755654063010871
2023,CB,Secondary,Boise St.,Mountain West,74.0,195,9.625,33.75,4.52,32.0,18,7.1,1,1712,52.954,0,0,0,0.4270023386630594
2024,OT,OL,TCU,Big 12,78.875,315,9.5,34.0,5.36,25.5,21,7.95,1,1631,59.244,0,0,0,0.4753226458575559
2025,CB,Secondary,Minnesota,Big Ten,70.125,190,10.0,30.625,4.4,33.33,11,6.65,1,1674,68.599,0,0,1,0.6288663076632897
2025,EDGE,DL,Syracruse,ACC,76.375,257,10.375,33.375,4.57,30.5,24,8.19,1,1499,59.911,0,0,1,0.4645074857613764
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,5.06,29.5,27,6.81,1,1585,67.536,0,0,1,0.5168106703492735
2023,WR,Skill,BYU,FBS Independent,74.0,201,9.5,32.125,4.5,36.5,17,6.94,0,1526,50.481,0,0,1,0.3965390435891877
2024,RB,Skill,Monmouth,CAA,68.0,187,9.25,28.75,4.45,34.5,22,6.6,1,1750,69.843,0,0,0,0.6156936332103607
