Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,IOL,OL,USC,Pac-12,78.0,310,10.0,77.75,5.22,29.0,20,105.0,7.9,4.79,1,13.164,77.414,90.693,44.38,43.862,0,0,Rounds 6-7,1,0.23970654109513362,11,14.87603305785124,18.96551724137931
2023,RB,Skill,Utah,Pac-12,72.375,237,9.25,76.0,4.74,30.0,20,118.0,6.84,4.32,1,19.146,79.905,74.866,74.068,53.378,0,0,Undrafted,0,0.2396580990349927,11,15.289256198347106,18.96551724137931
2025,TE,Skill,Notre Dame,FBS Independent,77.375,241,9.5,77.0,4.74,31.0,33,115.0,7.25,4.4,1,25.305,88.314,78.053,88.226,42.499,0,0,Rounds 6-7,1,0.23963430483175469,12,15.702479338842975,20.689655172413794
2025,WR,Skill,Pittsburgh,ACC,71.375,186,8.5,74.375,4.59,36.0,19,124.0,7.37,4.03,1,3.991,55.816,49.345,57.768,56.475,0,0,Rounds 6-7,1,0.23962004867626507,13,16.115702479338843,22.413793103448278
2023,RB,Skill,Tulsa,AAC,71.75,216,9.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,-4.107,43.074,50.493,42.491,37.352,0,0,Undrafted,0,0.23960503688213952,13,16.528925619834713,22.413793103448278
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,-3.512,38.745,32.821,44.666,62.478,0,0,Rounds 6-7,1,0.23959587063154325,14,16.94214876033058,24.137931034482758
2023,EDGE,DL,Appalachian St.,Sun Belt,74.25,236,9.5,80.625,4.58,35.5,23,120.0,7.07,4.45,1,0.411,45.95,62.053,35.887,34.024,0,0,Rounds 6-7,1,0.23950778137660056,15,17.355371900826448,25.862068965517242
2025,EDGE,DL,Baylor,Big 12,75.75,242,9.0,81.25,5.45,32.5,21,124.0,6.65,4.97,1,9.105,70.789,70.321,56.691,72.021,0,0,Undrafted,0,0.2394912643061845,15,17.768595041322314,25.862068965517242
2023,QB,Skill,UCLA,Pac-12,73.625,203,9.875,74.75,4.56,32.5,20,121.0,7.28,4.44,1,8.553,65.594,81.525,44.786,34.94,0,0,Rounds 4-5,0,0.23927030903756003,15,18.181818181818183,25.862068965517242
2024,C,OL,Michigan,Big Ten,73.5,298,9.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,0,0.2392170851192843,15,18.59504132231405,25.862068965517242
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,80.75,5.05,31.0,20,111.0,7.6,4.69,1,3.37,60.21,82.028,38.063,37.048,0,0,Undrafted,0,0.23921512082196655,15,19.00826446280992,25.862068965517242
2023,OT,OL,Florida,SEC,77.0,306,10.0,81.125,5.15,30.0,20,108.0,7.6,4.69,0,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,0,0.2391653824686193,15,19.421487603305785,25.862068965517242
2025,WR,Skill,Tennessee,SEC,76.625,205,9.5,79.0,4.3,33.0,20,126.0,7.05,4.03,1,20.786,83.706,67.16,87.119,52.677,0,0,Rounds 4-5,0,0.23911496729510662,15,19.834710743801654,25.862068965517242
2024,DL,DL,Miami,ACC,75.5,303,9.0,80.625,5.12,30.0,27,109.0,7.81,4.75,1,11.169,68.436,66.666,63.176,51.762,0,0,Undrafted,0,0.23894100366756876,15,20.24793388429752,25.862068965517242
2023,WR,Skill,East Carolina,AAC,73.5,224,10.25,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,0,0.23892969705372957,15,20.66115702479339,25.862068965517242
2023,EDGE,DL,Louisiana,Sun Belt,76.5,248,10.0,81.25,4.67,29.0,23,116.0,7.35,4.44,1,-2.136,45.745,34.883,52.541,66.931,0,0,Rounds 6-7,1,0.23840707089811886,16,21.074380165289256,27.586206896551722
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,79.125,4.5,32.5,18,122.0,7.1,4.3,1,8.853,70.514,55.299,74.421,59.153,0,0,Undrafted,0,0.23833316170888813,16,21.487603305785125,27.586206896551722
2025,S,Secondary,Nevada,Mountain West,70.625,202,9.5,75.25,4.41,41.5,18,128.0,6.65,4.14,1,-8.417,32.498,47.2,30.419,32.833,0,0,Rounds 6-7,1,0.23791002256008698,17,21.90082644628099,29.310344827586203
2024,WR,Skill,Mississippi St.,SEC,70.0,181,9.125,72.75,4.43,35.5,14,124.0,7.0,4.35,1,0.859,45.573,31.326,62.302,47.192,0,0,Undrafted,0,0.23790771769122177,17,22.31404958677686,29.310344827586203
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,76.25,4.46,36.5,33,117.1,7.28,4.03,1,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,0,0.23780803018190405,17,22.727272727272727,29.310344827586203
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,76.125,4.42,29.5,24,121.7,6.65,4.03,0,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 6-7,1,0.2377289701677116,18,23.140495867768596,31.03448275862069
2025,CB,Secondary,Villanova,CAA,73.25,209,9.5,78.125,4.56,32.92,11,124.0,6.65,4.97,1,10.737,66.313,60.06,66.447,50.291,0,0,Undrafted,0,0.23769444406284923,18,23.553719008264462,31.03448275862069
2025,OT,OL,Boston College,ACC,80.125,316,10.375,81.0,5.21,24.5,22,106.0,7.71,4.7,1,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,0.2374795707586741,18,23.96694214876033,31.03448275862069
2023,K,Special Teams,Michigan,Big Ten,73.0,209,9.5,75.875,4.58,34.0,20,121.0,7.27,4.44,0,23.62,85.085,79.485,79.2,57.128,1,0,Rounds 4-5,0,0.23727334151916774,18,24.380165289256198,31.03448275862069
2025,WR,Skill,Colorado,Big 12,68.125,174,8.625,74.5,4.46,38.0,27,128.0,6.65,4.41,1,12.691,74.938,72.644,69.84,45.06,0,0,Rounds 6-7,1,0.23714380570631555,19,24.793388429752067,32.758620689655174
2024,LB,LB,Texas,Big 12,74.375,240,9.5,74.375,4.62,33.5,18,121.0,7.44,4.44,1,23.196,86.583,76.615,83.977,60.972,1,0,Rounds 6-7,1,0.23712418288017956,20,25.206611570247933,34.48275862068966
2023,WR,Skill,Cincinnati,AAC,68.625,182,8.625,70.375,4.4,37.5,14,124.0,6.92,4.29,1,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,0,0.23697653528430296,20,25.6198347107438,34.48275862068966
2023,C,OL,Penn St.,Big Ten,75.25,301,10.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,0.23693255029476196,20,26.033057851239672,34.48275862068966
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,79.5,4.38,30.44,11,116.6,8.12,4.97,0,6.154,64.984,58.011,69.664,41.381,0,0,Undrafted,0,0.23687305520217378,20,26.446280991735538,34.48275862068966
2025,WR,Skill,Ole Miss,SEC,71.25,196,9.125,72.5,4.37,36.5,14,119.0,6.65,4.36,1,20.608,84.235,76.596,81.866,47.73,1,0,Rounds 4-5,0,0.2368337172182272,20,26.859504132231404,34.48275862068966
2024,RB,Skill,TCU,Big 12,67.375,202,9.75,70.75,4.61,33.5,22,116.0,6.87,4.23,1,9.511,59.244,64.411,51.426,45.245,0,0,Undrafted,0,0.23678042627039975,20,27.27272727272727,34.48275862068966
2024,CB,Secondary,Washington St.,Pac-12,69.75,184,9.125,72.375,4.54,34.5,18,125.0,7.05,4.32,1,3.221,62.169,54.667,62.054,59.872,0,0,Rounds 4-5,0,0.2364700393737148,20,27.685950413223143,34.48275862068966
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,78.125,4.48,37.0,13,124.0,6.83,4.3,1,-6.531,40.095,54.955,32.539,40.387,0,0,Undrafted,0,0.23629275320480742,20,28.09917355371901,34.48275862068966
2023,LB,LB,Texas,Big 12,74.625,229,9.5,78.125,4.56,34.0,15,124.0,6.62,4.33,1,19.379,79.1,73.758,70.57,66.449,1,0,Rounds 2-3,0,0.23628234247135366,20,28.512396694214875,34.48275862068966
2023,IOL,OL,UCLA,Pac-12,76.0,303,10.125,81.25,5.01,32.5,20,114.0,7.31,4.45,1,8.553,65.594,81.525,44.786,34.94,0,0,Rounds 4-5,0,0.23597614448165033,20,28.92561983471074,34.48275862068966
2023,WR,Skill,Maryland,Big Ten,71.25,201,8.625,76.75,4.42,33.0,20,127.0,7.01,4.47,1,7.842,61.934,61.039,57.849,51.968,0,0,Undrafted,0,0.23582239069117206,20,29.338842975206614,34.48275862068966
2023,LB,LB,TCU,Big 12,71.0,227,8.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 6-7,1,0.23552443251713262,21,29.75206611570248,36.206896551724135
2023,WR,Skill,Florida,SEC,76.0,229,10.0,83.375,4.55,35.5,18,126.0,6.97,4.29,1,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 4-5,0,0.23545772384918623,21,30.165289256198346,36.206896551724135
2025,RB,Skill,Georgia,SEC,68.75,198,9.5,70.5,4.42,35.0,15,124.0,6.65,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 4-5,0,0.23538676371031653,21,30.57851239669421,36.206896551724135
2024,K,Special Teams,Alabama,SEC,72.875,187,8.5,73.625,4.39,38.0,15,127.0,6.81,4.14,0,24.925,84.968,76.211,80.844,61.941,0,0,Rounds 6-7,1,0.2353435761948114,22,30.991735537190085,37.93103448275862
2023,DL,DL,Florida,SEC,77.625,310,9.5,80.875,4.88,31.0,22,110.0,7.5,4.73,1,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 2-3,0,0.23529237717937135,22,31.40495867768595,37.93103448275862
2025,TE,Skill,Texas,SEC,77.0,241,9.75,79.5,4.84,30.0,33,129.3,7.15,4.4,1,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 4-5,0,0.23521925562906676,22,31.818181818181817,37.93103448275862
2025,DL,DL,Ohio State,Big Ten,74.875,299,10.125,78.625,4.28,24.5,33,93.0,8.19,4.97,0,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 4-5,0,0.2347797946184233,22,32.231404958677686,37.93103448275862
2023,C,OL,Minnesota,Big Ten,75.5,301,9.5,78.375,5.35,29.5,20,104.0,7.68,4.56,1,11.422,72.43,66.077,73.504,40.834,0,0,Rounds 2-3,0,0.23464443526143547,22,32.64462809917356,37.93103448275862
2025,WR,Skill,Texas Tech,Big 12,72.625,186,10.5,76.625,4.7,33.0,14,121.0,7.02,4.97,1,6.204,57.272,59.502,48.684,59.274,1,0,Undrafted,0,0.23454716882573806,22,33.057851239669425,37.93103448275862
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,78.25,4.45,38.5,15,124.0,7.12,4.35,1,-0.369,43.622,32.282,60.013,38.896,0,0,Rounds 6-7,1,0.23435303915050004,23,33.47107438016529,39.6551724137931
2023,CB,Secondary,Georgia,SEC,73.75,207,8.5,74.125,4.36,33.5,15,122.0,6.89,4.3,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 4-5,0,0.23428489272564168,23,33.88429752066116,39.6551724137931
2024,LB,LB,Missouri,SEC,73.75,231,8.875,77.75,4.62,34.0,18,118.0,7.23,4.5,0,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 2-3,0,0.2340974061938742,23,34.29752066115703,39.6551724137931
2023,WR,Skill,North Carolina,ACC,69.0,179,9.25,73.375,4.48,38.5,13,131.0,6.91,4.29,1,6.195,60.099,78.452,30.968,61.95,0,0,Rounds 2-3,0,0.2340909776306237,23,34.710743801652896,39.6551724137931
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,78.125,4.78,32.5,28,122.0,6.83,4.21,1,-11.774,30.563,28.491,37.664,56.051,0,0,Undrafted,0,0.23399032506877998,23,35.12396694214876,39.6551724137931
2023,WR,Skill,Iowa St.,Big 12,73.875,203,9.375,74.875,4.53,36.0,17,116.0,6.91,4.35,1,6.28,57.494,40.857,78.383,33.853,0,0,Rounds 6-7,1,0.2339250138653095,24,35.53719008264463,41.37931034482759
2023,IOL,OL,Tennessee-Chattanooga,SoCon,78.0,324,10.25,83.875,5.24,26.5,20,105.0,7.7,4.97,1,11.336,69.68,68.952,64.29,44.371,0,0,Undrafted,0,0.233836632249307,24,35.9504132231405,41.37931034482759
2025,TE,Skill,Utah,Big 12,74.0,236,10.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0.2338221357075977,24,36.36363636363637,41.37931034482759
2023,K,Special Teams,Georgia,SEC,72.0,194,9.125,74.375,4.58,34.0,20,121.0,7.27,4.44,0,29.908,93.511,90.791,87.647,45.406,0,0,Undrafted,0,0.23362540912603008,24,36.77685950413223,41.37931034482759
2023,IOL,OL,Duluth/University of Minnesota,NSIC,76.0,304,9.75,78.75,5.2,29.0,20,109.0,7.77,4.75,0,14.599,74.563,74.162,65.921,50.606,0,0,Undrafted,0,0.23346031094312347,24,37.1900826446281,41.37931034482759
2024,C,OL,Duke,ACC,77.375,313,9.375,79.75,5.2,31.0,27,105.0,7.41,4.24,0,8.778,68.7,63.774,63.667,60.347,0,0,Round 1,0,0.23341927539958268,24,37.60330578512397,41.37931034482759
2023,OT,OL,North Carolina,ACC,76.0,309,10.0,82.75,5.15,29.5,20,108.0,7.6,4.69,0,6.195,60.099,78.452,30.968,61.95,0,0,Rounds 6-7,1,0.23314617246149655,25,38.01652892561984,43.103448275862064
2025,WR,Skill,Stanford,ACC,73.75,206,10.0,78.375,4.44,38.5,33,127.0,6.7,4.31,1,-5.299,38.36,36.975,39.874,65.408,0,0,Rounds 4-5,0,0.23312277903141987,25,38.429752066115704,43.103448275862064
2024,CB,Secondary,Tennessee,SEC,73.0,196,8.5,74.125,4.49,38.0,15,126.0,6.94,4.25,0,14.091,72.034,66.494,68.45,54.522,1,0,Rounds 6-7,1,0.2331083604922352,26,38.84297520661157,44.827586206896555
2024,RB,Skill,Louisville,ACC,69.5,193,8.5,71.0,4.56,34.5,22,121.0,6.65,4.22,1,11.36,72.759,63.856,75.697,45.123,0,0,Rounds 6-7,1,0.23290169494340718,27,39.25619834710744,46.55172413793103
2023,CB,Secondary,Miami,ACC,72.0,198,9.625,77.625,4.45,38.5,12,125.0,7.09,4.41,1,-0.466,39.09,36.049,46.919,51.41,0,0,Rounds 2-3,0,0.23279994587307717,27,39.66942148760331,46.55172413793103
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,79.25,4.97,32.0,11,113.0,7.38,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 2-3,0,0.23274617644196233,27,40.082644628099175,46.55172413793103
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,74.75,4.46,38.0,18,130.0,6.75,4.4,1,2.602,50.555,55.402,46.067,47.749,0,0,Round 1,0,0.23264684938261826,27,40.49586776859504,46.55172413793103
2023,EDGE,DL,North Carolina,ACC,76.0,238,8.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,6.195,60.099,78.452,30.968,61.95,0,0,Undrafted,0,0.2323711924456618,27,40.909090909090914,46.55172413793103
2023,WR,Skill,Liberty,FBS Independent,68.0,179,8.75,72.5,4.44,39.5,14,134.0,6.92,4.29,1,-3.902,44.748,35.822,54.191,53.85,0,0,Rounds 6-7,1,0.2318980492815952,28,41.32231404958678,48.275862068965516
2023,RB,Skill,Appalachian St.,Sun Belt,73.375,217,9.75,78.625,4.61,37.0,20,121.0,6.85,4.33,1,0.411,45.95,62.053,35.887,34.024,0,0,Undrafted,0,0.23187278301188713,28,41.735537190082646,48.275862068965516
2024,S,Secondary,Miami,ACC,76.25,231,9.5,80.25,4.65,30.0,17,117.0,6.69,3.5,1,11.169,68.436,66.666,63.176,51.762,0,0,Rounds 6-7,1,0.23178086140519805,29,42.14876033057851,50.0
2025,CB,Secondary,California,ACC,70.75,189,8.75,75.0,4.45,37.75,11,122.3,6.65,4.97,1,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 6-7,1,0.2316852660938588,30,42.561983471074385,51.724137931034484
2024,S,Secondary,Ohio St.,Big Ten,73.5,199,8.75,78.0,4.55,32.5,13,121.0,7.03,5.07,1,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,0,0.2316407393962845,30,42.97520661157025,51.724137931034484
2023,IOL,OL,Washington,Pac-12,77.75,306,10.75,81.125,5.5,28.0,20,101.0,8.34,4.97,1,11.472,73.944,84.016,49.984,45.242,1,0,Undrafted,0,0.23147401828143166,30,43.388429752066116,51.724137931034484
2023,RB,Skill,Auburn,SEC,71.625,210,9.5,76.625,4.56,32.5,20,119.0,7.23,4.68,1,6.205,55.022,47.067,62.103,45.36,0,0,Rounds 2-3,0,0.23141283833225523,30,43.80165289256198,51.724137931034484
2025,LB,LB,Florida,SEC,73.0,222,8.5,77.75,4.69,32.0,11,117.0,7.09,4.27,1,11.901,71.717,58.466,70.419,67.15,0,0,Rounds 4-5,0,0.23106573259444924,30,44.214876033057855,51.724137931034484
2025,WR,Skill,Minnesota,Big Ten,70.75,193,9.0,74.75,4.76,37.82,12,130.0,6.78,4.07,1,9.315,68.599,55.808,75.809,45.723,0,0,Rounds 6-7,1,0.23094644380461504,31,44.62809917355372,53.44827586206896
2025,WR,Skill,Iowa State,Big 12,76.125,214,9.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,10.15,66.812,63.385,63.427,52.51,0,0,Rounds 2-3,0,0.23087731954718854,31,45.04132231404959,53.44827586206896
2025,TE,Skill,Iowa,Big Ten,77.75,251,10.0,78.375,5.42,35.0,11,120.0,7.18,4.47,1,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,1,0.2302759621264125,32,45.45454545454545,55.172413793103445
2023,CB,Secondary,Penn St.,Big Ten,71.375,203,10.125,75.75,4.65,32.5,18,119.0,7.03,4.21,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,0.22986196893175903,32,45.867768595041326,55.172413793103445
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,73.875,4.65,39.5,17,123.0,7.37,4.97,1,11.793,78.233,79.692,66.688,47.348,0,0,Rounds 4-5,0,0.22961696402216109,32,46.28099173553719,55.172413793103445
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,72.625,4.41,43.0,15,123.2,6.9,4.03,1,5.283,53.294,60.369,50.721,32.002,0,0,Rounds 4-5,0,0.2295217762222454,32,46.69421487603306,55.172413793103445
