Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,CB,Secondary,Villanova,CAA,73.25,209,9.5,31.625,78.125,4.56,32.92,11,124.0,6.65,4.97,1,1715,10.737,66.313,60.06,66.447,50.291,0,0,Undrafted,1,0.17956591820263837,25,25.6198347107438,37.878787878787875
2025,OT,OL,NC State,ACC,78.0,336,10.25,33.75,83.125,5.26,29.5,11,107.0,7.77,4.03,1,1502,0.43,43.632,41.325,49.036,47.981,0,0,Round 2,0,0.1794853903373997,25,26.033057851239672,37.878787878787875
2023,RB,Skill,Tulsa,AAC,71.75,216,9.25,31.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,1378,-4.107,43.074,50.493,42.491,37.352,0,0,Undrafted,1,0.179445309678377,26,26.446280991735538,39.39393939393939
2023,RB,Skill,Oklahoma,Big 12,69.5,207,9.75,29.625,71.375,4.5,37.5,20,118.0,7.06,4.52,1,1662,9.969,66.271,71.907,54.872,48.16,0,0,Round 6,0,0.1777125347181631,26,26.859504132231404,39.39393939393939
2024,IOL,OL,Boston Col.,ACC,75.375,314,10.5,33.5,81.625,5.13,32.5,29,109.0,7.81,4.53,1,1345,-5.102,38.527,51.282,29.636,49.017,0,0,Round 6,0,0.1775119356619332,26,27.27272727272727,39.39393939393939
2023,EDGE,DL,Missouri,SEC,76.0,268,8.625,33.875,82.0,4.76,36.5,25,122.0,7.39,4.52,1,1470,2.559,59.03,42.751,69.711,55.263,0,0,Round 4,0,0.17645951129299703,26,27.685950413223143,39.39393939393939
2023,IOL,OL,Duluth/University of Minnesota,NSIC,76.0,304,9.75,32.375,78.75,5.2,29.0,20,109.0,7.77,4.75,0,1819,14.599,74.563,74.162,65.921,50.606,0,0,Undrafted,1,0.17635864590878256,27,28.09917355371901,40.909090909090914
2024,CB,Secondary,Wake Forest,ACC,71.875,199,8.25,31.375,75.625,4.51,38.5,15,126.0,6.94,4.0,0,1397,-1.563,44.613,38.193,52.655,52.027,0,0,Round 6,0,0.17625565386000536,27,28.512396694214875,40.909090909090914
2025,RB,Skill,Iowa,Big Ten,73.0,224,9.5,33.0,78.5,4.57,37.78,33,109.6,6.97,4.03,1,1774,11.144,70.238,48.063,74.759,71.573,0,0,Round 3,0,0.17546994732026994,27,28.92561983471074,40.909090909090914
2024,IOL,OL,Liberty,Conference USA,75.25,322,10.25,33.25,81.125,5.5,24.0,26,96.0,8.26,4.97,1,1609,3.816,67.732,83.531,42.547,34.869,0,0,Undrafted,1,0.17519316678240351,28,29.338842975206614,42.42424242424242
2025,LB,LB,South Carolina,SEC,73.625,235,10.0,32.5,80.5,4.58,31.5,22,118.0,7.12,4.25,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,Round 2,0,0.1744359483883672,28,29.75206611570248,42.42424242424242
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,79.125,4.5,32.5,18,122.0,7.1,4.3,1,1647,8.853,70.514,55.299,74.421,59.153,0,0,Undrafted,1,0.17383158464570522,29,30.165289256198346,43.93939393939394
2024,IOL,OL,Maryland,Big Ten,76.125,308,9.875,33.0,80.625,5.01,26.5,28,112.0,7.64,4.61,1,1695,8.085,66.299,64.78,61.709,49.654,0,0,Undrafted,1,0.17377948945535812,30,30.57851239669421,45.45454545454545
2024,C,OL,Duke,ACC,77.375,313,9.375,32.875,79.75,5.2,31.0,27,105.0,7.41,4.24,0,1654,8.778,68.7,63.774,63.667,60.347,0,0,Round 1,0,0.17268184127420164,30,30.991735537190085,45.45454545454545
2024,WR,Skill,Mississippi St.,SEC,70.0,181,9.125,30.625,72.75,4.43,35.5,14,124.0,7.0,4.35,1,1421,0.859,45.573,31.326,62.302,47.192,0,0,Undrafted,1,0.17128526686691495,31,31.40495867768595,46.96969696969697
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,76.25,4.46,36.5,33,117.1,7.28,4.03,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,1,0.17040333216850348,32,31.818181818181817,48.484848484848484
2024,EDGE,DL,Texas Tech,Big 12,78.0,278,9.875,36.875,86.25,4.67,35.0,21,120.0,7.56,4.75,1,1562,6.237,62.556,51.102,66.311,59.243,0,0,Round 7,0,0.1685937192628808,32,32.231404958677686,48.484848484848484
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,29.75,72.625,4.41,43.0,15,123.2,6.9,4.03,1,1557,5.283,53.294,60.369,50.721,32.002,0,0,Round 5,0,0.16857740830886284,32,32.64462809917356,48.484848484848484
2023,EDGE,DL,Iowa St.,Big 12,74.5,269,9.25,33.75,82.0,4.68,33.0,20,117.0,7.43,4.52,1,1554,6.28,57.494,40.857,78.383,33.853,0,0,Undrafted,1,0.16851198558486066,33,33.057851239669425,50.0
2025,CB,Secondary,UTSA,AAC,74.875,186,8.25,32.75,80.125,4.36,36.5,12,126.0,7.0,4.26,1,1544,-5.581,40.078,38.259,46.39,49.382,0,0,Round 6,0,0.16832192741417767,33,33.47107438016529,50.0
