Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,79.75,4.46,28.47,33,93.0,8.19,4.03,0,2154,25.305,88.314,78.053,88.226,42.499,0,0,Round 5,0,0.09759319715323664,65,87.19008264462809,98.48484848484848
2024,CB,Secondary,Penn St.,Big Ten,69.375,179,8.125,30.0,70.875,4.38,42.5,15,126.0,6.95,4.19,1,2000,25.618,85.731,66.931,89.424,64.921,1,0,Round 6,0,0.09546410778043955,65,87.60330578512396,98.48484848484848
2024,WR,Skill,Michigan,Big Ten,74.75,212,8.625,31.875,77.25,4.44,37.5,15,127.0,6.85,4.1,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Round 7,0,0.09492657530390226,65,88.01652892561982,98.48484848484848
2023,QB,Skill,Tennessee,SEC,75.0,217,10.5,33.0,79.25,4.58,35.0,20,120.0,7.07,4.36,0,2000,22.728,84.959,90.062,58.984,68.61,0,1,Round 3,0,0.09175423408723958,65,88.42975206611571,98.48484848484848
2023,RB,Skill,Texas,Big 12,71.0,215,9.75,31.125,74.75,4.46,37.0,20,124.0,6.77,4.26,1,1900,19.379,79.1,73.758,70.57,66.449,1,1,Round 1,0,0.09104844975216736,65,88.84297520661157,98.48484848484848
2025,CB,Secondary,Tulane,AAC,71.375,197,9.625,30.625,75.625,4.33,39.77,16,129.0,6.65,4.91,1,1674,10.537,71.379,66.845,65.053,60.698,1,0,Round 3,0,0.09090450595065826,65,89.25619834710744,98.48484848484848
2025,LB,LB,Georgia,SEC,73.0,243,10.25,32.0,79.875,4.75,24.5,11,115.3,6.88,4.03,0,1998,22.091,82.861,79.935,73.308,59.572,1,1,Round 1,0,0.08994316998650408,65,89.6694214876033,98.48484848484848
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,82.75,5.45,24.5,30,138.0,8.19,4.97,0,2007,20.608,84.235,76.596,81.866,47.73,1,0,Undrafted,1,0.08925511493490697,66,90.08264462809917,100.0
2023,LB,LB,Iowa,Big Ten,76.625,249,10.25,31.875,78.25,4.65,37.5,29,128.0,6.74,4.24,1,1748,7.409,67.111,21.369,88.288,70.495,0,1,Round 1,0,0.08572404288847708,66,90.49586776859503,100.0
2023,OT,OL,Ohio St.,Big Ten,80.25,374,11.625,36.375,87.875,5.35,26.0,20,112.0,7.61,4.6,1,2107,25.771,88.337,91.467,71.506,49.437,0,0,Round 4,0,0.08515156948718886,66,90.9090909090909,100.0
2024,CB,Secondary,Michigan,Big Ten,69.375,182,8.5,30.875,74.5,4.47,40.0,14,131.0,6.99,4.01,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Round 2,0,0.08315774495745021,66,91.32231404958677,100.0
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,78.25,4.54,38.5,15,125.0,6.93,4.05,1,2007,20.608,84.235,76.596,81.866,47.73,1,1,Round 2,0,0.0830060735595814,66,91.73553719008265,100.0
2024,CB,Secondary,Florida St.,ACC,71.875,190,8.625,30.0,73.25,4.38,39.5,15,129.0,6.94,4.24,1,1789,19.915,83.68,70.051,84.429,58.266,0,0,Round 3,0,0.08227815061681605,66,92.14876033057851,100.0
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,75.75,4.28,43.0,22,138.0,8.19,4.97,0,1855,17.338,77.097,87.084,52.889,41.286,1,1,Round 1,0,0.08188998872622025,66,92.56198347107438,100.0
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,76.875,4.38,41.5,14,133.0,6.89,4.26,1,1724,14.225,78.17,81.614,63.631,42.699,0,1,Round 1,0,0.08158575586591342,66,92.97520661157024,100.0
2023,EDGE,DL,Clemson,ACC,77.0,268,8.5,33.75,81.25,4.62,32.0,25,117.0,7.36,4.44,1,1843,17.553,74.958,64.744,77.07,48.641,0,1,Round 1,0,0.08042694167298947,66,93.38842975206612,100.0
2023,CB,Secondary,Alabama,SEC,71.625,190,9.5,30.75,78.125,4.58,34.5,14,125.0,6.51,4.3,1,2181,27.296,89.526,85.539,81.093,61.676,1,1,Round 2,0,0.08014694314905894,66,93.80165289256198,100.0
2024,OT,OL,Oregon St.,Pac-12,77.75,324,10.125,33.125,80.625,5.13,32.0,30,111.0,7.81,4.63,1,1722,13.996,79.392,79.074,67.781,54.727,0,1,Round 1,0,0.07874898078677303,66,94.21487603305785,100.0
2024,CB,Secondary,Texas,Big 12,74.875,208,9.375,34.5,81.75,4.53,40.5,15,125.0,6.82,4.13,1,2025,23.196,86.583,76.615,83.977,60.972,1,0,Round 6,0,0.07759315698949776,66,94.62809917355372,100.0
2023,DL,DL,Georgia,SEC,75.0,314,10.25,33.5,81.0,5.13,29.0,25,106.0,7.65,4.82,0,2300,29.908,93.511,90.791,87.647,45.406,0,1,Round 1,0,0.0769892784667337,66,95.0413223140496,100.0
2025,WR,Skill,Ohio State,Big Ten,72.875,202,9.5,31.5,76.625,4.54,37.82,11,125.3,7.41,4.55,0,2211,24.823,87.333,80.443,83.601,49.523,1,1,Round 1,0,0.07578377500532232,66,95.45454545454545,100.0
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,82.75,4.97,30.0,20,108.0,7.6,4.69,1,2300,29.908,93.511,90.791,87.647,45.406,0,0,Round 1,0,0.07450540462584004,66,95.86776859504133,100.0
2025,EDGE,DL,Alabama,SEC,76.25,243,9.5,33.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,1986,23.933,85.057,77.281,79.955,59.628,1,0,Round 5,0,0.07329661448690272,66,96.28099173553719,100.0
2025,OT,OL,Texas,SEC,77.125,315,10.375,33.5,84.375,5.16,32.0,14,104.0,7.81,4.66,1,2042,26.107,88.25,73.85,92.32,35.538,0,1,Round 1,0,0.0728448463878235,66,96.69421487603306,100.0
2024,OT,OL,Georgia,SEC,79.75,340,11.25,36.125,86.75,5.07,25.5,30,111.0,7.46,4.41,1,2273,24.777,87.417,88.149,74.455,48.128,1,0,Round 1,0,0.07208740381967,66,97.10743801652893,100.0
2024,C,OL,Oregon,Pac-12,75.375,328,9.875,32.25,78.5,5.21,32.0,30,104.0,7.41,2.89,1,2106,25.043,90.094,93.321,73.578,35.343,1,1,Round 2,0,0.07090582546999462,66,97.52066115702479,100.0
2025,DL,DL,Alabama,SEC,76.375,302,10.375,33.0,81.625,4.28,24.5,33,138.0,6.65,4.6,0,1986,23.933,85.057,77.281,79.955,59.628,1,0,Round 6,0,0.07069840420559338,66,97.93388429752066,100.0
2025,EDGE,DL,Ohio State,Big Ten,76.25,260,9.625,31.625,77.125,4.28,24.5,33,138.0,8.19,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,1,0,Round 4,0,0.06865003775759893,66,98.34710743801654,100.0
2025,IOL,OL,Ohio State,Big Ten,75.625,315,9.75,33.5,83.75,4.28,24.5,11,102.1,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,1,1,Round 1,0,0.06786741008577589,66,98.7603305785124,100.0
2024,DL,DL,Texas,Big 12,76.5,366,10.125,33.25,81.25,5.27,26.0,27,98.0,8.74,5.46,1,2025,23.196,86.583,76.615,83.977,60.972,1,1,Round 2,0,0.06687062884824593,66,99.17355371900827,100.0
2024,WR,Skill,Texas,Big 12,73.25,205,9.0,32.375,77.625,4.34,39.5,19,136.0,6.84,4.11,1,2025,23.196,86.583,76.615,83.977,60.972,1,0,Round 2,0,0.06318743664608402,66,99.58677685950413,100.0
2024,EDGE,DL,Alabama,SEC,74.75,247,9.875,34.375,83.0,4.46,40.5,23,127.0,7.39,4.31,1,2032,24.925,84.968,76.211,80.844,61.941,0,1,Round 1,0,0.04128714325080372,66,100.0,100.0
