Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual,Predicted Probability
2025,WR,Skill,Florida,SEC,72.625,196,9.125,32.125,76.875,4.34,38.5,23,128.0,6.82,4.27,1,1767,11.901,71.717,58.466,70.419,67.15,5.0499,0,0,1,0.7683664968347172
2025,C,OL,Ohio State,Big Ten,76.0,304,9.5,31.0,78.25,4.84,32.0,33,112.0,7.56,4.97,0,2211,24.823,87.333,80.443,83.601,49.523,0.0,1,0,0,0.5017535124806416
2024,WR,Skill,Georgia,SEC,71.625,186,8.625,30.25,72.0,4.39,36.0,13,124.0,6.89,4.19,1,2273,24.777,87.417,88.149,74.455,48.128,5.4161,1,1,1,0.7496056547556086
2024,LB,LB,Florida St.,ACC,71.5,210,8.625,31.5,74.875,4.47,30.5,18,119.0,6.68,5.14,1,1789,19.915,83.68,70.051,84.429,58.266,0.0,0,0,0,0.4194253188809103
2025,IOL,OL,Texas,SEC,78.0,314,9.5,33.25,79.625,4.28,43.0,11,97.8,7.9,4.88,1,2042,26.107,88.25,73.85,92.32,35.538,3.8712,0,0,1,0.7841918081482192
2024,WR,Skill,Michigan,Big Ten,74.75,212,8.625,31.875,77.25,4.44,37.5,15,127.0,6.85,4.1,1,2210,27.625,94.395,88.226,91.352,54.858,1.7918,0,0,1,0.771403265221529
2023,OT,OL,North Dakota St.,MVFC,77.0,302,9.75,32.375,78.875,5.08,29.0,20,108.0,7.33,4.55,1,1776,13.063,70.241,71.713,63.684,48.531,5.3519,0,0,1,0.7381612345328732
2023,EDGE,DL,Pittsburgh,ACC,76.25,251,10.5,33.0,79.375,4.78,35.0,21,120.0,7.11,4.44,1,1687,7.918,61.732,46.268,72.6,50.534,0.0,0,0,0,0.3367404168167632
2024,K,Special Teams,Missouri,SEC,71.875,241,8.875,30.75,74.375,4.75,33.5,21,116.0,7.29,4.42,0,1866,15.277,78.168,79.322,67.958,47.09,0.0,0,0,0,0.2957925562678233
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,33.25,81.125,4.28,35.5,26,114.0,8.19,4.03,1,1496,2.602,50.555,55.402,46.067,47.749,0.0,0,0,0,0.3903708205738158
2023,QB,Skill,Stanford,Pac-12,78.0,231,9.375,32.875,79.125,4.57,33.0,20,114.0,7.22,4.41,1,1237,-3.917,38.149,36.614,44.176,50.17,4.2627,0,0,1,0.6590846535961173
2025,RB,Skill,Florida,SEC,71.375,212,9.25,30.625,75.375,4.41,35.5,33,123.0,7.02,4.29,1,1767,11.901,71.717,58.466,70.419,67.15,0.0,0,0,0,0.34928326062009274
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,31.375,76.875,4.43,43.0,12,105.0,8.19,4.94,0,1701,12.691,74.938,72.644,69.84,45.06,5.5491,0,1,1,0.7812235859018419
2025,DL,DL,Ole Miss,SEC,75.75,296,9.5,32.5,78.625,5.45,24.5,33,138.0,6.65,4.03,0,2007,20.608,84.235,76.596,81.866,47.73,5.4931,1,1,1,0.8367186781508834
2024,DL,DL,Mississippi St.,SEC,75.875,301,9.5,33.0,77.5,4.97,29.5,27,105.0,7.32,4.66,1,1421,0.859,45.573,31.326,62.302,47.192,4.0775,0,0,1,0.6523783797830857
2025,OT,OL,Florida,SEC,79.25,316,10.5,34.0,83.875,5.33,24.5,11,96.0,8.15,4.91,1,1767,11.901,71.717,58.466,70.419,67.15,0.0,0,0,0,0.3716234401255531
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,34.625,84.0,4.99,34.0,30,114.0,7.58,4.54,1,1631,9.511,59.244,64.411,51.426,45.245,5.2575,0,0,1,0.7321513860362298
2023,CB,Secondary,Georgia,SEC,70.625,192,9.625,31.125,75.0,4.62,33.0,15,116.0,7.17,4.53,1,2300,29.908,93.511,90.791,87.647,45.406,4.4886,0,0,1,0.6850684332527642
2024,WR,Skill,Colorado,Pac-12,72.25,169,8.875,31.125,73.25,4.39,37.5,13,126.0,6.91,4.25,0,1237,-2.096,44.305,50.524,38.852,55.741,0.0,0,0,0,0.4036073417788383
2025,S,Secondary,Wisconsin,Big Ten,74.0,213,9.25,30.5,75.375,4.57,37.0,11,120.0,6.72,4.25,1,1554,4.781,55.118,42.281,62.746,59.931,3.2958,0,0,1,0.7187525269101503
2025,RB,Skill,UCF,Big 12,68.0,205,9.0,29.0,71.25,4.4,38.0,16,127.0,7.34,4.34,1,1557,5.283,53.294,60.369,50.721,32.002,5.2933,0,1,1,0.7075071955149531
2025,RB,Skill,Ohio State,Big Ten,71.625,221,9.25,30.25,73.5,4.48,38.5,33,132.0,6.89,4.03,1,2211,24.823,87.333,80.443,83.601,49.523,5.4072,1,0,1,0.8656777075143008
2024,OT,OL,Georgia,SEC,79.75,340,11.25,36.125,86.75,5.07,25.5,30,111.0,7.46,4.41,1,2273,24.777,87.417,88.149,74.455,48.128,5.4848,1,0,1,0.8603551917249971
2025,IOL,OL,Jacksonville State,Conference USA,75.25,312,10.0,32.0,79.5,5.11,31.0,29,107.0,6.65,4.9,1,1744,12.004,69.69,65.46,67.072,51.224,0.0,0,0,0,0.2748778113089015
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,33.0,81.25,5.14,27.0,28,108.0,7.68,4.97,1,1611,8.19,65.787,60.714,66.155,45.94,0.0,0,0,0,0.26371877495069224
2025,RB,Skill,SMU,ACC,69.875,194,8.625,30.5,74.0,4.39,32.5,33,117.0,7.45,4.97,1,1826,16.414,78.712,70.552,75.601,56.033,3.434,0,0,1,0.7778299053001807
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,78.5,4.63,34.0,18,120.0,6.97,4.44,1,1729,14.378,80.5,80.39,69.518,54.974,5.0106,0,0,1,0.7394892540353047
2024,QB,Skill,Notre Dame,FBS Independent,73.125,211,9.75,31.375,75.25,4.8,28.5,12,109.0,7.19,4.34,1,2077,20.776,83.947,78.304,77.941,57.082,0.0,1,0,0,0.4226347232952582
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,38.625,72.0,4.6,34.5,11,115.7,7.58,4.97,1,1533,3.857,55.405,64.09,40.753,58.771,3.2581,0,0,1,0.703915766329445
2025,S,Secondary,Clemson,ACC,72.0,199,8.75,32.25,77.625,4.49,41.5,21,121.0,7.23,4.92,1,1807,14.768,79.193,79.078,73.333,36.319,3.8067,0,0,1,0.753619234371432
2025,DL,DL,Georgia,SEC,75.375,290,9.125,33.0,79.5,4.86,32.0,33,111.0,7.38,4.97,1,1998,22.091,82.861,79.935,73.308,59.572,0.0,1,0,0,0.45664353997347523
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,76.25,4.46,36.5,33,117.1,7.28,4.03,1,1810,14.834,76.206,60.762,80.864,51.02,0.0,0,0,0,0.32916065604639355
2024,CB,Secondary,Boston Col.,ACC,73.5,185,9.25,31.5,76.0,4.44,42.5,15,131.0,6.95,4.54,1,1345,-5.102,38.527,51.282,29.636,49.017,5.1299,0,0,1,0.8032801885327897
2023,LB,LB,Alabama,SEC,73.0,227,10.25,32.75,77.375,4.62,32.0,20,116.0,7.44,4.4,1,2181,27.296,89.526,85.539,81.093,61.676,4.5218,1,0,1,0.772888893350422
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,79.125,4.5,32.5,18,122.0,7.1,4.3,1,1647,8.853,70.514,55.299,74.421,59.153,0.0,0,0,0,0.30379894854760825
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,77.25,4.61,35.0,28,117.0,7.06,4.35,1,1822,11.44,73.172,77.614,56.651,58.122,4.1744,0,0,1,0.7506546559446146
2023,WR,Skill,Penn St.,Big Ten,70.0,204,10.125,29.0,72.0,4.52,35.5,16,123.0,6.94,4.29,1,2000,19.477,82.964,71.335,83.462,50.595,4.3041,0,0,1,0.7285009882043921
2025,CB,Secondary,California,ACC,72.375,199,9.0,30.625,75.5,4.5,41.09,19,120.0,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,5.1591,0,0,1,0.7734017884938799
2024,EDGE,DL,Colorado St.,Mountain West,73.375,248,8.625,32.375,78.5,4.57,34.5,23,123.0,7.4,4.57,1,1276,-11.774,30.563,28.491,37.664,56.051,4.6151,0,0,1,0.6328994548033806
2025,OT,OL,Rutgers,Big Ten,80.375,341,9.75,36.0,88.25,4.28,29.5,33,102.6,6.65,4.03,0,1533,3.857,55.405,64.09,40.753,58.771,0.0,0,0,0,0.3915005771657827
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,82.75,4.97,30.0,20,108.0,7.6,4.69,1,2300,29.908,93.511,90.791,87.647,45.406,5.5013,0,0,1,0.8615540408638779
2023,EDGE,DL,Tennessee,SEC,74.375,250,9.25,32.5,79.125,4.43,38.0,22,132.0,7.19,4.45,1,2000,22.728,84.959,90.062,58.984,68.61,5.204,0,0,1,0.8304991285233765
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,76.875,4.38,41.5,14,133.0,6.89,4.26,1,1724,14.225,78.17,81.614,63.631,42.699,5.4889,0,1,1,0.8319235229695214
2024,S,Secondary,Auburn,SEC,71.625,179,9.875,32.375,76.625,4.45,39.5,13,133.0,7.22,5.94,1,1585,8.916,67.536,49.076,72.965,65.063,4.5539,0,0,1,0.8459913086535022
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,77.5,4.43,35.0,25,123.0,7.28,4.36,1,1843,17.553,74.958,64.744,77.07,48.641,5.1533,0,0,1,0.7967345394542343
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,84.375,4.95,35.0,21,111.0,7.44,4.84,1,1866,15.277,78.168,79.322,67.958,47.09,5.4467,0,0,1,0.8382476739445239
2023,WR,Skill,USC,Pac-12,71.125,173,8.75,30.875,74.5,4.49,34.0,13,122.0,6.91,4.29,1,1745,13.164,77.414,90.693,44.38,43.862,5.4638,0,1,1,0.7600786041469224
2025,OT,OL,Arizona,Big 12,76.125,324,10.25,33.75,82.25,4.95,29.0,18,106.0,7.28,4.66,1,1307,-3.385,38.477,43.057,38.791,48.852,5.4027,0,1,1,0.7441941837720001
2025,WR,Skill,UCF,Big 12,72.75,193,9.0,30.5,75.25,4.57,35.0,17,122.0,6.85,4.4,1,1557,5.283,53.294,60.369,50.721,32.002,0.0,0,0,0,0.24394237057957602
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,33.625,78.125,4.78,32.5,28,122.0,6.83,4.21,1,1276,-11.774,30.563,28.491,37.664,56.051,0.0,0,0,0,0.22063606170068165
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,82.75,4.28,35.5,22,119.0,6.94,4.19,1,1513,4.829,61.35,56.657,64.403,40.228,5.3706,0,0,1,0.7770819224553088
2024,OT,OL,Houston,Big 12,79.5,331,9.375,36.25,86.25,5.13,29.0,28,108.0,7.65,4.58,1,1421,-2.113,42.491,51.077,36.881,53.212,5.3181,0,0,1,0.6713636482526167
2023,WR,Skill,Penn St.,Big Ten,72.0,199,10.0,32.375,75.625,4.6,35.5,14,120.0,6.93,4.21,1,2000,19.477,82.964,71.335,83.462,50.595,0.0,0,0,0,0.3540774093236263
2024,S,Secondary,LSU,SEC,70.875,191,9.25,30.0,73.375,4.59,36.0,15,123.0,7.11,5.41,1,1985,20.874,81.345,97.503,37.119,37.895,0.0,0,0,0,0.40478234102462024
2023,CB,Secondary,Florida,SEC,71.625,193,10.0,32.0,77.625,4.72,33.5,20,119.0,7.08,4.54,1,1581,7.555,60.994,69.396,49.078,49.533,0.0,0,0,0,0.23957933801426218
2025,OT,OL,Wisconsin,Big Ten,79.0,314,10.0,33.5,81.375,5.27,36.57,33,138.0,8.19,4.97,0,1554,4.781,55.118,42.281,62.746,59.931,3.7136,0,0,1,0.7303560852469746
2025,DL,DL,Virginia Tech,ACC,72.5,282,9.625,31.375,78.0,4.94,32.5,11,109.0,6.65,4.7,1,1647,8.853,70.514,55.299,74.421,59.153,3.8918,0,0,1,0.7271291036800105
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,78.125,5.01,31.0,30,112.0,8.01,5.0,1,1871,17.436,78.295,78.649,74.431,26.438,4.7707,0,0,1,0.7351354822265955
2023,CB,Secondary,Pittsburgh,ACC,70.375,193,9.5,30.75,74.125,4.43,35.5,15,123.0,7.04,4.54,1,1687,7.918,61.732,46.268,72.6,50.534,2.3979,0,0,1,0.777165755640685
2025,CB,Secondary,Flordia State,ACC,73.5,197,10.0,32.375,78.0,4.63,36.57,12,122.0,6.65,4.97,1,1363,-3.911,35.518,23.689,45.332,73.417,5.2257,0,0,1,0.713645112612901
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,79.75,4.46,28.47,33,93.0,8.19,4.03,0,2154,25.305,88.314,78.053,88.226,42.499,4.7622,0,0,1,0.7501612743970705
2025,TE,Skill,Clemson,ACC,77.625,241,8.5,31.375,77.625,4.75,31.0,33,115.0,8.19,4.03,1,1807,14.768,79.193,79.078,73.333,36.319,0.0,0,0,0,0.36091993229363356
2023,TE,Skill,Georgia,SEC,78.625,264,11.0,34.375,83.75,4.64,31.0,21,122.0,6.75,4.08,1,2300,29.908,93.511,90.791,87.647,45.406,5.112,0,0,1,0.8122203142027656
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,78.125,4.48,37.0,13,124.0,6.83,4.3,1,1344,-6.531,40.095,54.955,32.539,40.387,0.0,0,0,0,0.30779790324377904
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,32.875,78.25,4.45,38.5,15,124.0,7.12,4.35,1,1404,-0.369,43.622,32.282,60.013,38.896,3.4012,0,0,1,0.7383648568380017
2025,DL,DL,Iowa,Big Ten,77.75,336,10.25,35.0,83.875,5.39,25.5,11,101.0,7.63,4.72,1,1774,11.144,70.238,48.063,74.759,71.573,4.5539,0,0,1,0.7823545301325996
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,76.625,4.52,36.0,15,131.0,6.51,4.27,1,1237,-3.917,38.149,36.614,44.176,50.17,4.625,0,0,1,0.7896708606932169
2024,DL,DL,Baylor,Big 12,78.0,291,9.5,34.5,84.25,5.03,31.5,27,115.0,7.65,4.67,1,1384,-4.924,30.445,31.671,31.437,67.489,0.0,0,0,0,0.2559189172250214
2025,DL,DL,South Carolina,SEC,75.875,297,10.25,33.125,80.875,4.28,31.5,31,112.0,7.7,4.67,1,1810,14.834,76.206,60.762,80.864,51.02,5.3845,0,0,1,0.7801484275712008
2023,WR,Skill,Florida,SEC,76.0,229,10.0,33.75,83.375,4.55,35.5,18,126.0,6.97,4.29,1,1581,7.555,60.994,69.396,49.078,49.533,4.6913,0,0,1,0.6945429193130079
2023,TE,Skill,Michigan,Big Ten,77.25,251,9.0,32.875,78.125,4.63,33.5,21,127.0,6.75,4.27,1,2124,23.62,85.085,79.485,79.2,57.128,5.3033,1,0,1,0.839360000125703
2025,WR,Skill,Utah State,Mountain West,72.0,205,9.5,30.125,73.75,4.42,35.58,13,122.1,7.24,4.03,1,1362,-10.773,26.445,42.504,21.003,45.961,4.8363,0,0,1,0.6894712629980885
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,76.375,4.62,35.5,20,122.0,7.11,4.57,1,2300,29.908,93.511,90.791,87.647,45.406,3.091,0,0,1,0.6391912099621131
2025,EDGE,DL,Texas,SEC,75.25,256,9.25,33.25,77.875,4.68,34.0,28,121.0,7.06,4.36,1,2042,26.107,88.25,73.85,92.32,35.538,4.9053,0,0,1,0.7686931563403846
2024,RB,Skill,Florida St.,ACC,72.25,216,9.25,31.5,76.375,4.39,33.5,22,122.0,6.98,4.25,1,1789,19.915,83.68,70.051,84.429,58.266,5.2627,0,0,1,0.7894272087704528
2023,LB,LB,North Carolina St.,ACC,74.0,233,9.125,31.75,76.0,4.52,35.0,26,123.0,7.4,4.36,1,1586,6.545,61.626,35.041,76.185,70.218,0.0,0,0,0,0.32867272420076443
2025,DL,DL,South Carolina,SEC,74.875,284,9.0,33.0,80.75,5.45,32.0,33,112.0,7.36,4.48,1,1810,14.834,76.206,60.762,80.864,51.02,4.8203,0,0,1,0.687915059905053
2025,DL,DL,Boston College,ACC,74.75,312,9.5,33.0,81.0,5.3,31.5,11,108.0,8.19,4.97,1,1513,4.829,61.35,56.657,64.403,40.228,0.0,0,0,0,0.27691565920454464
2024,S,Secondary,Washington,Pac-12,74.375,215,10.0,33.25,79.875,4.51,39.0,16,122.0,6.83,4.14,1,1879,17.544,82.666,86.101,64.802,60.593,4.585,0,0,1,0.7773597453348685
2025,C,OL,Kentucky,SEC,76.25,306,9.25,31.0,77.625,4.84,32.5,22,109.0,7.63,4.58,1,1498,4.707,54.684,41.39,62.472,62.769,0.0,0,0,0,0.31158906854579504
2023,EDGE,DL,Florida A&M,SWAC,75.5,236,9.25,32.5,77.5,4.62,34.5,21,126.0,7.2,4.56,1,1675,8.754,63.765,59.955,62.863,50.621,0.0,0,0,0,0.25782152144517234
2023,OT,OL,Arkansas,SEC,80.0,320,10.5,34.375,83.25,5.24,24.5,20,102.0,7.61,4.68,1,1686,6.93,62.299,69.2,48.112,56.255,0.0,0,0,0,0.28784462220888907
2025,QB,Skill,Notre Dame,FBS Independent,75.75,216,9.5,31.5,77.125,4.28,43.0,22,93.0,8.19,4.97,0,2154,25.305,88.314,78.053,88.226,42.499,4.2485,0,0,1,0.7746743841433416
2023,IOL,OL,Mississippi,SEC,76.0,305,9.75,32.5,76.625,5.27,29.0,20,108.0,7.75,4.7,1,1634,12.342,68.271,72.487,57.125,45.454,3.3673,0,0,1,0.6570682782562967
2024,S,Secondary,Wake Forest,ACC,70.125,209,9.0,30.125,72.5,4.53,37.5,22,128.0,6.9,4.48,1,1397,-1.563,44.613,38.193,52.655,52.027,4.9053,0,0,1,0.7540855524595522
2024,OT,OL,BYU,Big 12,76.625,326,10.625,34.25,82.125,5.04,28.0,30,110.0,8.03,4.58,1,1364,-1.805,52.478,36.286,62.31,60.603,5.2781,0,1,1,0.780005742561817
2024,S,Secondary,Washington St.,Pac-12,73.875,211,9.375,31.5,76.25,4.55,37.5,16,122.0,6.88,4.37,1,1546,3.221,62.169,54.667,62.054,59.872,4.8363,0,0,1,0.7151801019724886
2023,P,Special Teams,Tennessee,SEC,77.25,201,9.75,31.5,78.75,4.83,34.0,20,109.0,7.27,4.44,0,2000,22.728,84.959,90.062,58.984,68.61,0.0,0,0,0,0.37847229544498784
2024,CB,Secondary,Oregon St.,Pac-12,71.25,184,8.75,30.5,71.625,4.44,37.0,15,126.0,6.94,4.36,0,1722,13.996,79.392,79.074,67.781,54.727,0.0,0,0,0,0.43375090138053074
2025,RB,Skill,Boise State,Mountain West,68.5,211,9.25,29.25,72.75,4.58,34.92,11,111.8,7.11,4.97,0,1764,10.993,75.687,78.889,64.483,42.529,5.5334,0,1,1,0.6683263038047077
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,77.75,4.43,32.5,13,126.0,8.19,4.97,1,2007,20.608,84.235,76.596,81.866,47.73,5.2883,1,0,1,0.7647994041958802
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,79.25,4.62,37.0,28,118.0,7.19,4.33,1,1631,9.511,59.244,64.411,51.426,45.245,4.852,0,0,1,0.6485578298771453
2023,WR,Skill,Oklahoma,Big 12,70.875,183,9.0,31.625,74.75,4.38,39.5,14,129.0,6.9,4.29,1,1662,9.969,66.271,71.907,54.872,48.16,5.2781,0,0,1,0.7883594871326368
2025,IOL,OL,West Virginia,Big 12,78.5,313,10.25,32.125,79.5,5.27,30.0,33,108.0,8.19,4.69,1,1455,1.795,52.984,64.597,35.526,62.429,5.1358,0,0,1,0.6253022435631369
2025,WR,Skill,UNLV,Mountain West,73.125,184,9.25,31.625,76.0,4.61,36.0,11,123.0,6.66,4.66,1,1679,5.991,71.232,57.654,72.272,64.179,3.0445,0,0,1,0.6671739961752446
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,78.25,4.54,38.5,15,125.0,6.93,4.05,1,2007,20.608,84.235,76.596,81.866,47.73,5.3181,1,1,1,0.7671976952114896
2025,DL,DL,Texas A&M,SEC,75.125,290,10.25,33.5,81.125,5.45,43.0,33,138.0,6.65,4.97,0,1762,14.297,76.763,68.737,71.579,64.836,5.2832,1,0,1,0.7892935684472505
2024,LB,LB,Ohio St.,Big Ten,72.75,226,9.25,30.5,73.625,4.64,33.5,18,112.0,7.13,4.23,1,2065,27.485,89.569,83.397,86.658,44.2,0.0,1,0,0,0.3939003005821053
2023,WR,Skill,Clemson,ACC,75.125,217,10.25,31.5,80.375,4.54,34.5,19,124.0,6.96,4.29,1,1843,17.553,74.958,64.744,77.07,48.641,0.0,0,0,0,0.3497116479425209
2023,WR,Skill,South Carolina,SEC,73.0,201,9.5,34.125,80.25,4.69,35.0,17,130.0,7.15,4.31,1,1620,4.416,61.258,58.008,49.932,79.756,2.7081,0,0,1,0.6495131602189026
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,82.75,5.45,24.5,30,138.0,8.19,4.97,0,2007,20.608,84.235,76.596,81.866,47.73,0.0,1,0,0,0.5284293528442934
2024,WR,Skill,Illinois,Big Ten,69.25,182,9.125,30.125,72.75,4.63,38.0,17,123.0,6.75,4.2,1,1504,0.543,45.217,52.138,44.335,38.615,0.0,0,0,0,0.37323316537492157
2024,IOL,OL,Utah,Pac-12,76.25,319,9.875,32.875,80.75,5.28,26.0,27,104.0,7.85,4.77,1,1684,10.768,65.114,50.684,74.826,48.257,4.382,0,0,1,0.6387352076372648
2024,CB,Secondary,Alabama,SEC,71.75,189,8.875,31.625,76.25,4.5,37.0,15,129.0,6.94,4.23,1,2032,24.925,84.968,76.211,80.844,61.941,5.4596,0,1,1,0.8647148708704837
2023,K,Special Teams,Clemson,ACC,70.0,185,8.875,30.375,73.625,4.58,34.0,20,121.0,7.27,4.44,0,1843,17.553,74.958,64.744,77.07,48.641,0.0,0,0,0,0.33935052863041393
2023,CB,Secondary,California,Pac-12,72.875,208,10.0,30.25,74.375,4.45,39.5,22,128.0,6.75,4.17,1,1406,-1.39,44.902,38.449,54.726,43.407,4.6151,0,0,1,0.7857511865448025
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,73.75,4.38,34.5,15,125.0,6.94,4.55,1,1737,15.302,75.391,76.693,64.536,49.591,4.6634,0,0,1,0.8088906516456202
2023,CB,Secondary,USC,Pac-12,71.0,178,9.25,31.0,75.625,4.47,36.0,11,125.0,6.51,4.31,1,1745,13.164,77.414,90.693,44.38,43.862,5.0562,0,0,1,0.7448255708177824
2023,EDGE,DL,Auburn,SEC,75.0,252,9.5,33.5,79.75,4.62,33.5,23,121.0,7.17,4.44,0,1596,6.205,55.022,47.067,62.103,45.36,0.0,0,0,0,0.3002150503543123
2023,CB,Secondary,South Carolina,SEC,74.0,198,9.5,33.375,79.625,4.36,35.0,13,121.0,6.58,4.31,1,1620,4.416,61.258,58.008,49.932,79.756,4.7958,0,0,1,0.7384036783189846
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,32.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,1729,14.378,80.5,80.39,69.518,54.974,5.2364,0,0,1,0.7004308072665039
2024,TE,Skill,Iowa,Big Ten,76.375,252,10.125,33.0,79.0,4.65,35.0,28,121.0,7.07,4.31,0,1575,6.086,61.244,18.216,86.165,61.239,4.9698,0,0,1,0.7314487665473877
2023,K,Special Teams,Michigan,Big Ten,73.0,209,9.5,30.875,75.875,4.58,34.0,20,121.0,7.27,4.44,0,2124,23.62,85.085,79.485,79.2,57.128,5.0752,1,0,1,0.8102049283906045
2023,IOL,OL,Kentucky,SEC,75.125,327,9.75,34.5,82.5,5.34,27.5,20,102.0,7.9,4.8,1,1606,5.824,59.284,46.761,72.541,34.773,0.0,0,0,0,0.2923342558649657
2025,TE,Skill,Alabama,SEC,75.0,274,9.625,31.25,78.25,4.91,34.0,26,119.0,7.34,4.45,1,1986,23.933,85.057,77.281,79.955,59.628,4.4308,1,0,1,0.7763450667019484
