Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,TE,Skill,Pac-12,75.125,231,9.25,78.5,4.47,35.0,28,121.0,6.99,4.39,1,17.544,82.666,86.101,64.802,60.593,0,0,Rounds 6-7,0,0.2577704507769322,12,26.859504132231404,25.53191489361702
2023,WR,Skill,ACC,69.0,179,9.25,73.375,4.48,38.5,13,131.0,6.91,4.29,1,6.195,60.099,78.452,30.968,61.95,0,0,Rounds 2-3,0,0.2576544277519336,12,27.27272727272727,25.53191489361702
2025,WR,Skill,Big Ten,70.75,193,9.0,74.75,4.76,37.82,12,130.0,6.78,4.07,1,9.315,68.599,55.808,75.809,45.723,0,0,Rounds 6-7,0,0.2573915438003241,12,27.685950413223143,25.53191489361702
2023,EDGE,DL,Pac-12,76.0,260,9.0,80.125,4.49,32.0,28,110.0,7.37,4.44,1,14.225,78.17,81.614,63.631,42.699,0,0,Rounds 2-3,0,0.25677088943920884,12,28.09917355371901,25.53191489361702
2024,LB,LB,ACC,75.875,233,9.0,75.75,4.43,34.5,18,119.0,7.29,4.43,1,6.943,65.952,47.142,75.741,57.991,0,1,Rounds 4-5,1,0.2566427302277018,13,28.512396694214875,27.659574468085108
2025,CB,Secondary,Big 12,72.375,188,9.125,76.875,4.43,43.0,12,105.0,8.19,4.94,0,12.691,74.938,72.644,69.84,45.06,0,1,Round 1,0,0.2563430058859216,13,28.92561983471074,27.659574468085108
2025,CB,Secondary,Big 12,74.875,195,9.0,80.0,4.3,36.5,11,131.0,6.71,4.04,1,10.15,66.812,63.385,63.427,52.51,0,0,Rounds 2-3,0,0.25584133382467067,13,29.338842975206614,27.659574468085108
2023,TE,Skill,Pac-12,76.0,246,10.25,78.375,4.67,35.0,21,120.0,7.37,4.3,0,19.146,79.905,74.866,74.068,53.378,0,0,Round 1,0,0.25427241353571917,13,29.75206611570248,27.659574468085108
2023,CB,Secondary,ACC,72.0,198,9.625,77.625,4.45,38.5,12,125.0,7.09,4.41,1,-0.466,39.09,36.049,46.919,51.41,0,0,Rounds 2-3,0,0.25424133417952527,13,30.165289256198346,27.659574468085108
2025,RB,Skill,Big Ten,69.5,205,9.5,73.75,4.55,37.18,33,115.6,7.03,4.03,1,21.125,85.854,85.403,73.779,53.859,1,0,Rounds 4-5,1,0.2533757631974488,14,30.57851239669421,29.78723404255319
2024,S,Secondary,Big Ten,73.5,199,8.75,78.0,4.55,32.5,13,121.0,7.03,5.07,1,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,0,0.25291510556259866,14,30.991735537190085,29.78723404255319
2024,CB,Secondary,Pac-12,69.75,184,9.125,72.375,4.54,34.5,18,125.0,7.05,4.32,1,3.221,62.169,54.667,62.054,59.872,0,0,Rounds 4-5,1,0.25285583291516633,15,31.40495867768595,31.914893617021278
2023,QB,Skill,AAC,74.5,220,9.375,75.625,4.64,37.5,20,122.0,6.89,4.25,1,4.061,51.527,62.603,38.496,54.875,0,0,Rounds 4-5,1,0.2527023332566133,16,31.818181818181817,34.04255319148936
2025,WR,Skill,Big Ten,74.125,205,9.75,78.5,4.57,32.0,12,123.0,7.04,4.54,1,21.125,85.854,85.403,73.779,53.859,1,0,Undrafted,0,0.2522955375348102,16,32.231404958677686,34.04255319148936
2023,WR,Skill,Big Ten,71.25,201,8.625,76.75,4.42,33.0,20,127.0,7.01,4.47,1,7.842,61.934,61.039,57.849,51.968,0,0,Undrafted,0,0.25213866318753425,16,32.64462809917356,34.04255319148936
2024,IOL,OL,Big 12,76.5,313,10.75,84.0,4.99,34.0,30,114.0,7.58,4.54,1,9.511,59.244,64.411,51.426,45.245,0,0,Rounds 2-3,0,0.2501772563512775,16,33.057851239669425,34.04255319148936
2025,RB,Skill,Big 12,69.5,219,9.375,73.875,4.65,39.5,17,123.0,7.37,4.97,1,11.793,78.233,79.692,66.688,47.348,0,0,Rounds 4-5,1,0.2500836767019817,17,33.47107438016529,36.17021276595745
2025,CB,Secondary,Big Ten,72.125,195,8.5,76.125,4.42,29.5,24,121.7,6.65,4.03,0,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 6-7,0,0.24870576477484668,17,33.88429752066116,36.17021276595745
2025,DL,DL,Big Ten,74.875,299,10.125,78.625,4.28,24.5,33,93.0,8.19,4.97,0,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 4-5,1,0.24815656851207546,18,34.29752066115703,38.297872340425535
2023,EDGE,DL,ACC,76.0,238,8.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,6.195,60.099,78.452,30.968,61.95,0,0,Undrafted,0,0.24797287150563904,18,34.710743801652896,38.297872340425535
2024,IOL,OL,Big Ten,76.125,309,10.625,84.75,5.15,29.5,28,109.0,7.7,4.61,0,27.625,94.395,88.226,91.352,54.858,0,0,Rounds 6-7,0,0.24789282888757286,18,35.12396694214876,38.297872340425535
2025,RB,Skill,SEC,68.75,198,9.5,70.5,4.42,35.0,15,124.0,6.65,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 4-5,1,0.24732421909539398,19,35.53719008264463,40.42553191489361
2025,WR,Skill,SEC,74.5,209,10.0,78.5,4.33,42.99,14,123.6,6.65,4.03,0,20.786,83.706,67.16,87.119,52.677,0,0,Undrafted,0,0.24683869462709315,19,35.9504132231405,40.42553191489361
2025,CB,Secondary,CAA,73.25,209,9.5,78.125,4.56,32.92,11,124.0,6.65,4.97,1,10.737,66.313,60.06,66.447,50.291,0,0,Undrafted,0,0.24603847928272854,19,36.36363636363637,40.42553191489361
2025,RB,Skill,ACC,71.75,221,9.375,74.75,4.46,38.0,18,130.0,6.75,4.4,1,2.602,50.555,55.402,46.067,47.749,0,0,Round 1,0,0.24580563613595924,19,36.77685950413223,40.42553191489361
2024,LB,LB,Big Ten,71.375,233,8.5,78.0,4.62,34.5,18,119.0,7.26,4.63,0,27.625,94.395,88.226,91.352,54.858,0,0,Rounds 6-7,0,0.2446178200546156,19,37.1900826446281,40.42553191489361
2024,IOL,OL,MVFC,76.25,309,10.0,81.625,5.08,35.5,31,117.0,7.59,4.45,1,12.286,67.318,67.025,63.252,53.648,0,0,Rounds 4-5,1,0.2442738052746131,20,37.60330578512397,42.5531914893617
2023,WR,Skill,AAC,68.625,182,8.625,70.375,4.4,37.5,14,124.0,6.92,4.29,1,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,1,0.24252585495406884,21,38.01652892561984,44.680851063829785
2025,S,Secondary,SEC,71.25,186,9.0,75.375,4.45,40.36,17,121.4,6.65,4.03,1,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 2-3,0,0.2420979217806926,21,38.429752066115704,44.680851063829785
2023,QB,Skill,Pac-12,73.625,203,9.875,74.75,4.56,32.5,20,121.0,7.28,4.44,1,8.553,65.594,81.525,44.786,34.94,0,0,Rounds 4-5,1,0.24130879124371074,22,38.84297520661157,46.808510638297875
2025,DL,DL,SEC,75.25,319,9.5,81.25,5.14,27.0,28,108.0,7.68,4.97,1,8.19,65.787,60.714,66.155,45.94,0,0,Undrafted,0,0.2411128099373967,22,39.25619834710744,46.808510638297875
2023,IOL,OL,Pac-12,76.0,303,10.125,81.25,5.01,32.5,20,114.0,7.31,4.45,1,8.553,65.594,81.525,44.786,34.94,0,0,Rounds 4-5,1,0.24103160766039555,23,39.66942148760331,48.93617021276596
2024,DL,DL,ACC,75.5,303,9.0,80.625,5.12,30.0,27,109.0,7.81,4.75,1,11.169,68.436,66.666,63.176,51.762,0,0,Undrafted,0,0.2404683349303945,23,40.082644628099175,48.93617021276596
2025,WR,Skill,Big 12,68.125,174,8.625,74.5,4.46,38.0,27,128.0,6.65,4.41,1,12.691,74.938,72.644,69.84,45.06,0,0,Rounds 6-7,0,0.24029880154414338,23,40.49586776859504,48.93617021276596
2025,CB,Secondary,ACC,70.75,189,8.75,75.0,4.45,37.75,11,122.3,6.65,4.97,1,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 6-7,0,0.24015669378550866,23,40.909090909090914,48.93617021276596
2025,WR,Skill,SEC,72.125,179,9.0,77.0,4.36,38.0,20,127.0,6.82,4.19,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 4-5,1,0.2399496314326213,24,41.32231404958678,51.06382978723404
2025,TE,Skill,SEC,77.0,241,9.75,79.5,4.84,30.0,33,129.3,7.15,4.4,1,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 4-5,1,0.2388814347981083,25,41.735537190082646,53.191489361702125
2024,CB,Secondary,ACC,70.75,186,8.75,78.25,4.45,38.5,15,124.0,7.12,4.35,1,-0.369,43.622,32.282,60.013,38.896,0,0,Rounds 6-7,0,0.23821013259742072,25,42.14876033057851,53.191489361702125
2025,LB,LB,Big Ten,76.625,239,9.0,82.375,4.28,43.0,33,123.2,7.59,4.2,0,3.857,55.405,64.09,40.753,58.771,0,0,Undrafted,0,0.23735409170495303,25,42.561983471074385,53.191489361702125
2024,QB,Skill,Big Ten,74.5,219,9.0,75.875,4.81,32.5,17,114.0,6.82,4.23,1,27.625,94.395,88.226,91.352,54.858,0,0,Round 1,0,0.23606116347015652,25,42.97520661157025,53.191489361702125
2025,EDGE,DL,Big 12,75.75,242,9.0,81.25,5.45,32.5,21,124.0,6.65,4.97,1,9.105,70.789,70.321,56.691,72.021,0,0,Undrafted,0,0.23549629905745947,25,43.388429752066116,53.191489361702125
2023,TE,Skill,SEC,76.0,242,9.5,79.125,4.67,35.5,21,120.0,7.36,4.32,0,27.296,89.526,85.539,81.093,61.676,1,0,Rounds 4-5,1,0.23459049814022687,26,43.80165289256198,55.319148936170215
2023,RB,Skill,AAC,67.875,179,9.25,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,0,0.23422458718419248,26,44.214876033057855,55.319148936170215
2025,CB,Secondary,Big 12,70.25,191,8.375,72.625,4.41,43.0,15,123.2,6.9,4.03,1,5.283,53.294,60.369,50.721,32.002,0,0,Rounds 4-5,1,0.23419349941467948,27,44.62809917355372,57.446808510638306
2023,LB,LB,Big 12,74.625,229,9.5,78.125,4.56,34.0,15,124.0,6.62,4.33,1,19.379,79.1,73.758,70.57,66.449,1,0,Rounds 2-3,0,0.23397581186184538,27,45.04132231404959,57.446808510638306
2024,WR,Skill,Pac-12,74.375,208,9.625,78.0,4.5,36.5,13,119.0,6.86,4.12,1,13.091,69.753,82.697,42.068,66.367,0,0,Rounds 6-7,0,0.2335347957712688,27,45.45454545454545,57.446808510638306
