Season,Player,Position,Position Group,Conference,Overall Pick,Actual Tier Number,Predicted Tier Number,Actual Tier,Predicted Tier,Correct,Ordinal Error,Prob Round 1,Prob Rounds 2-3,Prob Rounds 4-5,Prob Rounds 6-7,Prob Undrafted,Basic Prob Round 1,Basic Prob Rounds 2-3,Basic Prob Rounds 4-5,Basic Prob Rounds 6-7,Basic Prob Undrafted,Actual Target,Cumulative Targets Captured,Percent of Players Reviewed,Percent of Actual Targets Captured
2026,J'Mari Taylor,RB,Skill,ACC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.030613692447339757,0.0983990700470281,0.1790886336561959,0.24546698250898602,0.4464316213404502,0.05948435329121413,0.14144366008187853,0.17378051939814418,0.27138513606936054,0.3539063311594026,1,18,15.63517915309446,21.686746987951807
2026,Keyron Crawford,EDGE,DL,SEC,67,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.03062571603512786,0.09843257132094337,0.17912946802823326,0.24548072825861605,0.44633151635707946,0.13411841491199436,0.2469975020658359,0.21363011082733713,0.22247054271441324,0.18278342948041937,0,18,15.960912052117262,21.686746987951807
2026,Dalton Johnson,SAF,Secondary,Big 12,150,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.031218014304037638,0.1000784048973094,0.18112160553031437,0.24612980492390707,0.4414521703444315,0.05946782703536601,0.1414127566522563,0.173758730576315,0.2713867984436595,0.3539738872924032,0,18,16.286644951140065,21.686746987951807
2026,Emmett Johnson,RB,Skill,Big Ten,161,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.03179200504430868,0.10166501200044961,0.1830163031303262,0.24670783360734988,0.4368188462175656,0.076510560798071,0.17126340720812122,0.19199862729660194,0.26536759421013584,0.29485981048707,0,18,16.612377850162865,21.686746987951807
2026,Jalen Huskey,SAF,Secondary,Big Ten,100,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.03235336560336677,0.10320879815318348,0.18483578867469694,0.24722661059408818,0.43237543697466463,0.07897964181894929,0.17526865357649102,0.1940258134969366,0.2639755316786127,0.2877503594290104,0,18,16.938110749185668,21.686746987951807
2026,Brandon Cleveland,DL,DL,ACC,229,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.032413565658271935,0.10337389058508789,0.18502896640964625,0.2472795908111181,0.4319039865358758,0.0876031637291095,0.18866533213600115,0.20009604664506414,0.25848518247341656,0.26515027501640864,0,18,17.263843648208468,21.686746987951807
2026,Emmanuel McNeil-Warren,SAF,Secondary,MAC,58,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.032536235745839096,0.10371002402977826,0.18542145034878507,0.24738598696142822,0.43094630291416935,0.0637816775117621,0.14934641841802687,0.17915219213732933,0.2706196957712101,0.3371000161616716,0,18,17.58957654723127,21.686746987951807
2026,Max Llewellyn,EDGE,DL,Big Ten,238,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.03289605736011379,0.10469384947845277,0.18656380935877673,0.24768614229533265,0.42816014150732407,0.140707084488657,0.25360578095570374,0.21375934298220872,0.21730288317815027,0.17462490839528022,0,18,17.91530944625407,21.686746987951807
2026,Bobby Jamison-Travis,DL,DL,SEC,186,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.03350578202542683,0.10635371074501748,0.18846962432506706,0.24815519447408918,0.42351568843039944,0.10632240638546599,0.2147912952177779,0.2087946847525471,0.24456727732879113,0.2255243363154179,0,18,18.241042345276874,21.686746987951807
2026,Donaven McCulley,WR,Skill,Big Ten,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.034251318723162026,0.10837097298054416,0.19074969918107285,0.24866383789763086,0.4179641712175901,0.09689200133921548,0.20211424024095676,0.20509376406931473,0.2518093861760268,0.24409060817448625,1,19,18.566775244299674,22.89156626506024
2026,Mansoor Delane,CB,Secondary,SEC,6,0,3,Round 1,Rounds 6-7,Incorrect,3,0.03451028766134458,0.1090685317143993,0.19152898505173135,0.24882445294807376,0.416067742624451,0.10690140677500569,0.2155389590438485,0.20898205913329287,0.2441132482358881,0.22446432681196482,0,19,18.892508143322477,22.89156626506024
2026,Namdi Obiazor,LB,LB,Big 12,212,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.0355405668574238,0.11182768578269928,0.19456571086949673,0.24938530936647962,0.4086807271239006,0.055201550457382384,0.13330096405531727,0.16782608364996301,0.2714378252504794,0.37223357658685796,0,19,19.218241042345277,22.89156626506024
2026,Lake McRee,TE,Skill,Big Ten,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.03577969225384757,0.11246443945326394,0.19525622868833056,0.24949826930803487,0.40700137029652306,0.094791574854188,0.19915890745858866,0.20408974711978595,0.2533690260905102,0.2485907444769272,1,20,19.54397394136808,24.096385542168676
2026,Bud Clark,SAF,Secondary,Big 12,64,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.03590099232835068,0.11278692082498656,0.19560447472828552,0.24955317222962758,0.40615443988874966,0.05946782703536601,0.1414127566522563,0.173758730576315,0.2713867984436595,0.3539738872924032,0,20,19.86970684039088,24.096385542168676
2026,Jam Miller,RB,Skill,SEC,245,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.036484564337937286,0.11433347704872415,0.19726096637278967,0.24979525035004324,0.40212574189050565,0.11149694804514153,0.22135144142163676,0.21032004393000236,0.24048517826066107,0.21634638834255826,0,20,20.195439739413683,24.096385542168676
2026,Logan Jones,IOL,OL,Big Ten,57,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.03707768764632685,0.115897076010122,0.1989129083670772,0.2500049993966878,0.39810732857978615,0.06276483822422992,0.1475002014871587,0.17793285111029092,0.27085759606443505,0.3409445131138854,0,20,20.521172638436482,24.096385542168676
