Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,WR,Skill,Minnesota,Big Ten,70.75,193,9.0,30.625,74.75,4.76,37.82,12,130.0,6.78,4.07,1,1674,9.315,68.599,55.808,75.809,45.723,3.3673,0,0,Rounds 6-7,1,0.31489185230437144,28,11.570247933884298,48.275862068965516
2025,S,Secondary,Nevada,Mountain West,70.625,202,9.5,31.0,75.25,4.41,41.5,18,128.0,6.65,4.14,1,1192,-8.417,32.498,47.2,30.419,32.833,3.5264,0,0,Rounds 6-7,1,0.3140415978987125,29,11.983471074380166,50.0
2024,OT,OL,Central Florida,Big 12,77.75,306,10.125,33.625,80.625,4.95,36.5,29,117.0,7.76,4.75,1,1617,9.736,69.854,75.965,58.387,40.005,4.0073,0,0,Rounds 6-7,1,0.3131126292739461,30,12.396694214876034,51.724137931034484
2024,CB,Secondary,South Carolina,SEC,71.75,190,8.875,32.0,77.625,4.46,40.5,15,129.0,6.94,4.19,1,1594,6.054,55.105,53.866,54.724,48.937,4.3694,0,0,Rounds 6-7,1,0.31210881197333223,31,12.8099173553719,53.44827586206896
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,76.125,4.42,29.5,24,121.7,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,4.4886,1,0,Rounds 6-7,1,0.3118216559178406,32,13.223140495867769,55.172413793103445
2023,OT,OL,Maryland,Big Ten,77.625,306,9.375,33.0,79.125,5.1,31.5,20,113.0,7.6,4.69,1,1645,7.842,61.934,61.039,57.849,51.968,4.2905,0,0,Rounds 6-7,1,0.30648794580395083,33,13.636363636363635,56.896551724137936
2024,WR,Skill,Southeast Missouri St.,OVC-Big South,72.75,202,10.125,31.625,76.125,4.44,39.5,19,132.0,6.85,4.12,1,1689,10.257,67.367,64.253,63.204,55.565,3.7612,0,0,Rounds 6-7,1,0.30547526360843275,34,14.049586776859504,58.620689655172406
2024,LB,LB,Michigan,Big Ten,71.375,233,8.5,32.125,78.0,4.62,34.5,18,119.0,7.26,4.63,0,2210,27.625,94.395,88.226,91.352,54.858,2.9444,0,0,Rounds 6-7,1,0.3046172873478074,35,14.46280991735537,60.3448275862069
2023,WR,Skill,Penn St.,Big Ten,70.0,204,10.125,29.0,72.0,4.52,35.5,16,123.0,6.94,4.29,1,2000,19.477,82.964,71.335,83.462,50.595,4.3041,0,0,Rounds 6-7,1,0.3038000197438089,36,14.87603305785124,62.06896551724138
2025,RB,Skill,Miami,ACC,71.625,217,9.5,30.5,75.25,4.51,35.0,33,124.0,6.95,4.97,1,1855,17.338,77.097,87.084,52.889,41.286,3.5835,1,1,Rounds 6-7,1,0.29907100312810153,37,15.289256198347106,63.793103448275865
2023,QB,Skill,Houston,AAC,74.5,220,9.375,31.375,75.625,4.64,37.5,20,122.0,6.89,4.25,1,1619,4.061,51.527,62.603,38.496,54.875,4.7875,0,0,Rounds 4-5,0,0.2973698715837256,37,15.702479338842975,63.793103448275865
2023,OT,OL,North Carolina,ACC,76.0,309,10.0,34.0,82.75,5.15,29.5,20,108.0,7.6,4.69,0,1559,6.195,60.099,78.452,30.968,61.95,4.4998,0,0,Rounds 6-7,1,0.2957313781846377,38,16.115702479338843,65.51724137931035
2025,DL,DL,Maryland,Big Ten,75.75,306,10.0,33.5,82.625,5.09,28.0,11,103.0,8.19,4.03,1,1407,-0.535,43.23,46.603,47.026,35.755,2.4849,0,0,Rounds 6-7,1,0.29144374061989076,39,16.528925619834713,67.24137931034483
2024,DL,DL,Iowa,Big Ten,77.375,281,10.25,32.25,78.875,5.05,31.5,25,114.0,7.16,4.37,1,1575,6.086,61.244,18.216,86.165,61.239,4.3944,0,0,Rounds 6-7,1,0.29122593612119924,40,16.94214876033058,68.96551724137932
2025,WR,Skill,Georgia,SEC,70.0,185,9.25,31.375,75.625,4.4,33.5,11,120.0,6.9,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,2.7081,1,0,Rounds 6-7,1,0.28879527268130417,41,17.355371900826448,70.6896551724138
2025,EDGE,DL,Miami,ACC,76.625,258,10.0,33.125,80.25,4.62,35.5,19,121.0,6.65,4.16,1,1855,17.338,77.097,87.084,52.889,41.286,4.4188,1,0,Rounds 6-7,1,0.28546513512605726,42,17.768595041322314,72.41379310344827
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,76.375,4.62,35.5,20,122.0,7.11,4.57,1,2300,29.908,93.511,90.791,87.647,45.406,3.091,0,0,Rounds 6-7,1,0.2848029738437311,43,18.181818181818183,74.13793103448276
2023,WR,Skill,Liberty,FBS Independent,68.0,179,8.75,30.25,72.5,4.44,39.5,14,134.0,6.92,4.29,1,1413,-3.902,44.748,35.822,54.191,53.85,3.8918,0,0,Rounds 6-7,1,0.28434099486049863,44,18.59504132231405,75.86206896551724
2023,EDGE,DL,Nebraska,Big Ten,76.75,250,10.75,35.25,83.375,4.74,33.5,21,118.0,7.18,4.38,1,1532,-0.651,40.694,43.713,40.707,51.926,4.2485,0,0,Rounds 6-7,1,0.28107810024279384,45,19.00826446280992,77.58620689655173
2024,CB,Secondary,Tennessee,SEC,73.0,196,8.5,30.875,74.125,4.49,38.0,15,126.0,6.94,4.25,0,1877,14.091,72.034,66.494,68.45,54.522,3.8712,1,0,Rounds 6-7,1,0.2775915752965231,46,19.421487603305785,79.3103448275862
2023,EDGE,DL,Appalachian St.,Sun Belt,74.25,236,9.5,33.625,80.625,4.58,35.5,23,120.0,7.07,4.45,1,1593,0.411,45.95,62.053,35.887,34.024,4.585,0,0,Rounds 6-7,1,0.2770849444245124,47,19.834710743801654,81.03448275862068
2025,WR,Skill,Stanford,ACC,73.75,206,10.0,32.375,78.375,4.44,38.5,33,127.0,6.7,4.31,1,1175,-5.299,38.36,36.975,39.874,65.408,4.8122,0,0,Rounds 4-5,0,0.27662282406498917,47,20.24793388429752,81.03448275862068
2025,TE,Skill,Notre Dame,FBS Independent,77.375,241,9.5,32.0,77.0,4.74,31.0,33,115.0,7.25,4.4,1,2154,25.305,88.314,78.053,88.226,42.499,4.5643,0,0,Rounds 6-7,1,0.27110344063176384,48,20.66115702479339,82.75862068965517
