Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,82.75,4.28,35.5,22,119.0,6.94,4.19,1,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,0.2935331903087062,8,19.834710743801654,17.02127659574468
2025,DL,DL,Nebraska,Big Ten,77.125,288,10.0,79.0,4.83,33.5,28,119.0,7.58,4.5,1,6.154,64.984,58.011,69.664,41.381,0,0,Rounds 4-5,1,0.29335826977267193,9,20.24793388429752,19.148936170212767
2024,DL,DL,Iowa,Big Ten,77.375,281,10.25,78.875,5.05,31.5,25,114.0,7.16,4.37,1,6.086,61.244,18.216,86.165,61.239,0,0,Rounds 6-7,0,0.29273154047357014,9,20.66115702479339,19.148936170212767
2024,OT,OL,Howard,MEAC,79.75,353,9.75,85.5,5.35,27.5,31,105.0,7.5,4.41,1,10.624,67.994,66.593,60.836,53.823,0,0,Undrafted,0,0.2927300685114936,9,21.074380165289256,19.148936170212767
2024,DL,DL,Duke,ACC,74.375,302,10.25,79.125,4.99,32.0,27,109.0,7.95,4.75,1,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 2-3,0,0.29226818551650807,9,21.487603305785125,19.148936170212767
2025,EDGE,DL,Brigham Young,Big 12,77.625,271,9.375,81.0,4.78,34.0,27,120.0,7.21,4.54,1,9.307,74.278,67.062,70.631,58.08,0,0,Undrafted,0,0.292127423479867,9,21.90082644628099,19.148936170212767
2023,QB,Skill,Houston,AAC,74.5,220,9.375,75.625,4.64,37.5,20,122.0,6.89,4.25,1,4.061,51.527,62.603,38.496,54.875,0,0,Rounds 4-5,1,0.291977287056774,10,22.31404958677686,21.27659574468085
2024,LB,LB,North Carolina St.,ACC,75.875,233,9.0,75.75,4.43,34.5,18,119.0,7.29,4.43,1,6.943,65.952,47.142,75.741,57.991,0,1,Rounds 4-5,1,0.291576994002759,11,22.727272727272727,23.404255319148938
2025,RB,Skill,Oregon,Big Ten,69.5,205,9.5,73.75,4.55,37.18,33,115.6,7.03,4.03,1,21.125,85.854,85.403,73.779,53.859,1,0,Rounds 4-5,1,0.29149685822618326,12,23.140495867768596,25.53191489361702
2024,EDGE,DL,Washington St.,Pac-12,75.875,264,9.75,78.75,4.69,33.5,21,114.0,7.07,4.48,1,3.221,62.169,54.667,62.054,59.872,0,0,Rounds 4-5,1,0.29100866096037864,13,23.553719008264462,27.659574468085108
2024,IOL,OL,South Dakota St.,MVFC,76.25,309,10.0,81.625,5.08,35.5,31,117.0,7.59,4.45,1,12.286,67.318,67.025,63.252,53.648,0,0,Rounds 4-5,1,0.29090949463537336,14,23.96694214876033,29.78723404255319
2023,EDGE,DL,Iowa St.,Big 12,74.5,269,9.25,82.0,4.68,33.0,20,117.0,7.43,4.52,1,6.28,57.494,40.857,78.383,33.853,0,0,Undrafted,0,0.2906676879325621,14,24.380165289256198,29.78723404255319
2024,CB,Secondary,Michigan,Big Ten,71.125,185,8.875,75.625,4.39,34.5,13,120.0,6.94,4.35,1,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,0,0.2905485105131694,14,24.793388429752067,29.78723404255319
2023,DL,DL,Mississippi St.,SEC,75.0,304,10.0,82.0,5.1,29.5,24,109.0,7.6,4.79,1,13.237,75.362,59.938,76.598,66.986,0,0,Rounds 4-5,1,0.29003863199681895,15,25.206611570247933,31.914893617021278
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,84.0,4.99,34.0,30,114.0,7.58,4.54,1,9.511,59.244,64.411,51.426,45.245,0,0,Rounds 2-3,0,0.28919890873340515,15,25.6198347107438,31.914893617021278
2023,WR,Skill,Penn St.,Big Ten,70.0,204,10.125,72.0,4.52,35.5,16,123.0,6.94,4.29,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 6-7,0,0.28901040856715376,15,26.033057851239672,31.914893617021278
2023,EDGE,DL,Oregon,Pac-12,76.0,260,9.0,80.125,4.49,32.0,28,110.0,7.37,4.44,1,14.225,78.17,81.614,63.631,42.699,0,0,Rounds 2-3,0,0.28898636991411825,15,26.446280991735538,31.914893617021278
2024,S,Secondary,Georgia,SEC,70.5,198,9.0,73.875,4.47,37.0,17,123.0,7.03,5.04,1,24.777,87.417,88.149,74.455,48.128,1,0,Rounds 2-3,0,0.28833337668816056,15,26.859504132231404,31.914893617021278
2025,LB,LB,Indiana,Big Ten,72.625,218,9.534,79.875,4.38,35.0,11,127.0,7.24,4.03,1,18.73,83.71,85.132,72.021,40.91,1,0,Undrafted,0,0.28686551997428233,15,27.27272727272727,31.914893617021278
2025,DL,DL,Kentucky,SEC,79.375,331,10.5,84.125,5.45,25.0,33,104.0,6.65,4.03,1,4.707,54.684,41.39,62.472,62.769,0,1,Rounds 4-5,1,0.2860728475731204,16,27.685950413223143,34.04255319148936
2024,CB,Secondary,Georgia,SEC,71.5,186,8.875,73.75,4.52,37.0,15,126.0,6.62,4.12,1,24.777,87.417,88.149,74.455,48.128,1,0,Rounds 2-3,0,0.2852228249984857,16,28.09917355371901,34.04255319148936
