Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual,Predicted Probability
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,76.25,4.46,36.5,33,117.1,7.28,4.03,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,0,0.5672902539706252
2024,CB,Secondary,Boston Col.,ACC,73.5,185,9.25,31.5,76.0,4.44,42.5,15,131.0,6.95,4.54,1,1345,-5.102,38.527,51.282,29.636,49.017,0,0,1,0.7138932284887858
2023,LB,LB,Alabama,SEC,73.0,227,10.25,32.75,77.375,4.62,32.0,20,116.0,7.44,4.4,1,2181,27.296,89.526,85.539,81.093,61.676,1,0,1,0.624531821563427
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,79.125,4.5,32.5,18,122.0,7.1,4.3,1,1647,8.853,70.514,55.299,74.421,59.153,0,0,0,0.5464063028832521
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,77.25,4.61,35.0,28,117.0,7.06,4.35,1,1822,11.44,73.172,77.614,56.651,58.122,0,0,1,0.5459630159890084
2023,WR,Skill,Penn St.,Big Ten,70.0,204,10.125,29.0,72.0,4.52,35.5,16,123.0,6.94,4.29,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,1,0.5866422338354053
2025,CB,Secondary,California,ACC,72.375,199,9.0,30.625,75.5,4.5,41.09,19,120.0,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,0,0,1,0.6339183411494874
2024,EDGE,DL,Colorado St.,Mountain West,73.375,248,8.625,32.375,78.5,4.57,34.5,23,123.0,7.4,4.57,1,1276,-11.774,30.563,28.491,37.664,56.051,0,0,1,0.37501443144730073
2025,OT,OL,Rutgers,Big Ten,80.375,341,9.75,36.0,88.25,4.28,29.5,33,102.6,6.65,4.03,0,1533,3.857,55.405,64.09,40.753,58.771,0,0,0,0.5591491427427975
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,82.75,4.97,30.0,20,108.0,7.6,4.69,1,2300,29.908,93.511,90.791,87.647,45.406,0,0,1,0.7555464963269105
2023,EDGE,DL,Tennessee,SEC,74.375,250,9.25,32.5,79.125,4.43,38.0,22,132.0,7.19,4.45,1,2000,22.728,84.959,90.062,58.984,68.61,0,0,1,0.7255997292468868
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,76.875,4.38,41.5,14,133.0,6.89,4.26,1,1724,14.225,78.17,81.614,63.631,42.699,0,1,1,0.7819608755202143
2024,S,Secondary,Auburn,SEC,71.625,179,9.875,32.375,76.625,4.45,39.5,13,133.0,7.22,5.94,1,1585,8.916,67.536,49.076,72.965,65.063,0,0,1,0.7448581833491954
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,77.5,4.43,35.0,25,123.0,7.28,4.36,1,1843,17.553,74.958,64.744,77.07,48.641,0,0,1,0.6663381616734093
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,84.375,4.95,35.0,21,111.0,7.44,4.84,1,1866,15.277,78.168,79.322,67.958,47.09,0,0,1,0.6780001062181873
