Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,EDGE,DL,Alabama,SEC,76.25,243,9.5,33.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,1986,23.933,85.057,77.281,79.955,59.628,4.8283,1,0,Round 5,0,0.1586063112631414,39,48.34710743801653,100.0
2023,WR,Skill,TCU,Big 12,68.375,165,8.0,29.25,69.0,4.36,36.5,12,126.0,6.9,4.38,1,1729,14.378,80.5,80.39,69.518,54.974,4.8978,0,0,Round 4,0,0.15815731214045298,39,48.760330578512395,100.0
2025,DL,DL,Florida,SEC,78.25,328,9.5,34.125,81.875,5.17,24.5,11,93.0,6.65,4.03,1,1767,11.901,71.717,58.466,70.419,67.15,4.7791,0,0,Round 5,0,0.15810523650631442,39,49.17355371900827,100.0
2025,RB,Skill,Arkansas,SEC,73.5,229,9.5,33.0,79.375,4.61,32.0,33,119.0,7.19,4.36,1,1611,8.19,65.787,60.714,66.155,45.94,0.0,0,0,Undrafted,0,0.157724707628459,39,49.586776859504134,100.0
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,78.125,5.01,31.0,30,112.0,8.01,5.0,1,1871,17.436,78.295,78.649,74.431,26.438,4.7707,0,0,Round 5,0,0.15721541860735236,39,50.0,100.0
2025,S,Secondary,Virginia,ACC,72.375,206,9.625,32.25,77.625,4.48,36.5,12,128.0,7.46,4.97,1,1356,-1.289,47.839,40.745,53.887,55.993,5.112,0,0,Round 3,0,0.15541671788211442,39,50.413223140495866,100.0
2023,IOL,OL,South Carolina,SEC,73.875,297,9.875,31.75,77.0,5.12,27.5,20,109.0,7.9,4.8,1,1620,4.416,61.258,58.008,49.932,79.756,3.5264,0,0,Undrafted,0,0.15512110611243435,39,50.82644628099173,100.0
2025,EDGE,DL,Syracruse,ACC,76.375,257,10.375,33.375,79.125,4.57,30.5,24,121.0,8.19,4.03,1,1499,3.99,59.911,72.144,44.673,32.891,1.6094,0,0,Undrafted,0,0.1546457363962711,39,51.2396694214876,100.0
2025,DL,DL,Indiana,Big Ten,73.125,316,9.625,31.5,79.125,4.95,33.0,28,138.0,6.65,4.03,1,1951,18.73,83.71,85.132,72.021,40.91,4.9836,1,0,Round 4,0,0.1542923187469805,39,51.652892561983464,100.0
2023,QB,Skill,Shepherd,PSAC,75.125,213,9.5,30.125,74.875,4.79,36.0,20,120.0,6.95,4.36,1,1759,10.267,67.94,57.957,72.715,49.834,0.0,0,0,Undrafted,0,0.1526746839557968,39,52.066115702479344,100.0
