Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2024,EDGE,DL,Oregon,Pac-12,75.0,283,9.375,33.25,80.875,4.85,30.5,21,111.0,7.43,4.85,1,2106,25.043,90.094,93.321,73.578,35.343,5.0106,1,0,Round 4,0,0.12089581459028961,39,79.33884297520662,100.0
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31.0,22,110.0,7.5,4.73,1,1581,7.555,60.994,69.396,49.078,49.533,5.3279,0,0,Round 2,0,0.12066585121350243,39,79.75206611570248,100.0
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,77.5,4.43,35.0,25,123.0,7.28,4.36,1,1843,17.553,74.958,64.744,77.07,48.641,5.1533,0,0,Round 3,0,0.12024225912094923,39,80.16528925619835,100.0
2023,EDGE,DL,Missouri,SEC,76.0,268,8.625,33.875,82.0,4.76,36.5,25,122.0,7.39,4.52,1,1470,2.559,59.03,42.751,69.711,55.263,4.8903,0,0,Round 4,0,0.12016881061540069,39,80.57851239669421,100.0
2025,EDGE,DL,LSU,SEC,77.375,280,10.0,33.5,82.375,5.45,33.0,19,119.0,6.65,4.97,1,1827,13.515,71.849,75.763,61.497,39.011,5.0626,0,0,Round 4,0,0.11943588074910116,39,80.99173553719008,100.0
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,75.75,4.28,43.0,22,138.0,8.19,4.97,0,1855,17.338,77.097,87.084,52.889,41.286,5.553,1,1,Round 1,0,0.11850893383056521,39,81.40495867768594,100.0
2023,DL,DL,Mississippi St.,SEC,75.0,304,10.0,34.5,82.0,5.1,29.5,24,109.0,7.6,4.79,1,1694,13.237,75.362,59.938,76.598,66.986,4.9127,0,0,Round 4,0,0.1179698078016228,39,81.81818181818183,100.0
2024,LB,LB,Notre Dame,FBS Independent,74.125,234,9.875,34.25,79.375,4.64,34.0,18,118.0,7.31,4.44,1,2077,20.776,83.947,78.304,77.941,57.082,5.1475,1,0,Round 3,0,0.11794687718229806,39,82.23140495867769,100.0
2025,EDGE,DL,Brigham Young,Big 12,77.625,271,9.375,33.125,81.0,4.78,34.0,27,120.0,7.21,4.54,1,1717,9.307,74.278,67.062,70.631,58.08,0.0,0,0,Undrafted,0,0.1174174794582305,39,82.64462809917356,100.0
2024,TE,Skill,Michigan,Big Ten,78.0,251,9.0,33.375,81.875,4.65,35.0,28,119.0,7.07,4.32,0,2210,27.625,94.395,88.226,91.352,54.858,4.9273,0,0,Round 4,0,0.11607050067365743,39,83.05785123966942,100.0
2024,WR,Skill,Texas,Big 12,73.25,205,9.0,32.375,77.625,4.34,39.5,19,136.0,6.84,4.11,1,2025,23.196,86.583,76.615,83.977,60.972,5.3327,1,0,Round 2,0,0.11522876235340826,39,83.47107438016529,100.0
2025,CB,Secondary,Tulane,AAC,71.375,197,9.625,30.625,75.625,4.33,39.77,16,129.0,6.65,4.91,1,1674,10.537,71.379,66.845,65.053,60.698,5.1417,1,0,Round 3,0,0.11448543573686149,39,83.88429752066115,100.0
2023,EDGE,DL,Louisiana,Sun Belt,76.5,248,10.0,34.25,81.25,4.67,29.0,23,116.0,7.35,4.44,1,1556,-2.136,45.745,34.883,52.541,66.931,3.2581,0,0,Undrafted,0,0.11445240669674585,39,84.29752066115702,100.0
2024,CB,Secondary,Florida St.,ACC,71.875,190,8.625,30.0,73.25,4.38,39.5,15,129.0,6.94,4.24,1,1789,19.915,83.68,70.051,84.429,58.266,5.0938,0,0,Round 3,0,0.11400485287432653,39,84.71074380165288,100.0
2024,IOL,OL,Texas A&M,SEC,75.5,302,10.5,34.625,81.5,5.13,26.5,27,111.0,7.67,4.58,1,1772,15.36,75.057,65.814,76.34,50.751,5.0499,0,0,Round 4,0,0.11181618594124455,39,85.12396694214877,100.0
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,78.5,4.63,34.0,18,120.0,6.97,4.44,1,1729,14.378,80.5,80.39,69.518,54.974,5.0106,0,0,Round 4,0,0.1112046463265634,39,85.53719008264463,100.0
2025,LB,LB,South Carolina,SEC,73.625,235,10.0,32.5,80.5,4.58,31.5,22,118.0,7.12,4.25,1,1810,14.834,76.206,60.762,80.864,51.02,5.3471,0,0,Round 2,0,0.11033312089356057,39,85.9504132231405,100.0
2023,RB,Skill,Texas,Big 12,71.0,215,9.75,31.125,74.75,4.46,37.0,20,124.0,6.77,4.26,1,1900,19.379,79.1,73.758,70.57,66.449,5.5255,1,1,Round 1,0,0.11025367760446936,39,86.36363636363636,100.0
2025,WR,Skill,Texas,SEC,71.0,191,9.5,30.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,2042,26.107,88.25,73.85,92.32,35.538,5.4638,0,0,Round 1,0,0.10736174929659478,39,86.77685950413223,100.0
2024,CB,Secondary,Michigan,Big Ten,69.375,182,8.5,30.875,74.5,4.47,40.0,14,131.0,6.99,4.01,1,2210,27.625,94.395,88.226,91.352,54.858,5.3423,0,0,Round 2,0,0.1055490536411592,39,87.19008264462809,100.0
2024,RB,Skill,Michigan,Big Ten,67.75,205,9.0,28.875,70.125,4.53,35.5,27,119.0,6.82,4.12,1,2210,27.625,94.395,88.226,91.352,54.858,5.1705,0,0,Round 3,0,0.10545354213944437,39,87.60330578512396,100.0
2023,EDGE,DL,Auburn,SEC,74.75,254,10.0,34.5,82.625,4.55,33.5,23,127.0,7.22,4.45,1,1596,6.205,55.022,47.067,62.103,45.36,5.4027,0,0,Round 2,0,0.10470585783671858,39,88.01652892561982,100.0
2024,WR,Skill,Washington,Pac-12,73.375,203,9.75,31.75,74.5,4.52,37.5,16,129.0,6.86,4.13,1,1879,17.544,82.666,86.101,64.802,60.593,5.4027,0,0,Round 2,0,0.10389879555520054,39,88.42975206611571,100.0
2023,EDGE,DL,LSU,SEC,74.0,248,10.5,34.25,81.875,4.59,32.5,23,126.0,7.2,4.45,1,1871,17.436,78.295,78.649,74.431,26.438,5.3845,0,0,Round 2,0,0.10281229066447595,39,88.84297520661157,100.0
2024,OT,OL,Georgia,SEC,79.75,340,11.25,36.125,86.75,5.07,25.5,30,111.0,7.46,4.41,1,2273,24.777,87.417,88.149,74.455,48.128,5.4848,1,0,Round 1,0,0.10274003345194513,39,89.25619834710744,100.0
2024,OT,OL,Arizona,Pac-12,77.0,311,10.875,32.875,81.375,5.04,28.0,27,110.0,8.02,4.72,1,1822,11.44,73.172,77.614,56.651,58.122,5.4553,0,0,Round 1,0,0.10232681129372806,39,89.6694214876033,100.0
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,31.375,76.875,4.43,43.0,12,105.0,8.19,4.94,0,1701,12.691,74.938,72.644,69.84,45.06,5.5491,0,1,Round 1,0,0.1019762317420315,39,90.08264462809917,100.0
2023,CB,Secondary,Florida,SEC,71.625,193,10.0,32.0,77.625,4.72,33.5,20,119.0,7.08,4.54,1,1581,7.555,60.994,69.396,49.078,49.533,0.0,0,0,Undrafted,0,0.10036147422453683,39,90.49586776859503,100.0
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,83.875,5.31,23.5,20,101.0,7.99,4.81,1,1581,7.555,60.994,69.396,49.078,49.533,5.2983,0,0,Round 2,0,0.09680519226636503,39,90.9090909090909,100.0
2024,DL,DL,Texas,Big 12,76.5,366,10.125,33.25,81.25,5.27,26.0,27,98.0,8.74,5.46,1,2025,23.196,86.583,76.615,83.977,60.972,5.3982,1,1,Round 2,0,0.09599237343080066,39,91.32231404958677,100.0
2024,QB,Skill,Michigan,Big Ten,74.5,219,9.0,31.625,75.875,4.81,32.5,17,114.0,6.82,4.23,1,2210,27.625,94.395,88.226,91.352,54.858,5.5175,0,0,Round 1,0,0.094341037897615,39,91.73553719008265,100.0
2024,OT,OL,Houston,Big 12,79.5,331,9.375,36.25,86.25,5.13,29.0,28,108.0,7.65,4.58,1,1421,-2.113,42.491,51.077,36.881,53.212,5.3181,0,0,Round 2,0,0.09341007349138102,39,92.14876033057851,100.0
2025,S,Secondary,South Carolina,SEC,75.125,220,9.0,32.5,78.25,4.38,43.0,20,138.0,7.3,4.69,1,1810,14.834,76.206,60.762,80.864,51.02,5.4116,0,0,Round 2,0,0.09020561918619945,39,92.56198347107438,100.0
2023,EDGE,DL,USC,Pac-12,75.0,266,10.125,32.25,77.875,4.63,32.0,23,118.0,7.16,4.43,0,1745,13.164,77.414,90.693,44.38,43.862,5.323,0,1,Round 2,0,0.09010339159884409,39,92.97520661157024,100.0
2024,C,OL,Oregon,Pac-12,75.375,328,9.875,32.25,78.5,5.21,32.0,30,104.0,7.41,2.89,1,2106,25.043,90.094,93.321,73.578,35.343,5.3706,1,1,Round 2,0,0.08939460056023033,39,93.38842975206612,100.0
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,78.25,4.54,38.5,15,125.0,6.93,4.05,1,2007,20.608,84.235,76.596,81.866,47.73,5.3181,1,1,Round 2,0,0.08882306730882539,39,93.80165289256198,100.0
2025,OT,OL,Texas,SEC,77.125,315,10.375,33.5,84.375,5.16,32.0,14,104.0,7.81,4.66,1,2042,26.107,88.25,73.85,92.32,35.538,5.5215,0,1,Round 1,0,0.08854034644017761,39,94.21487603305785,100.0
2023,DL,DL,Georgia,SEC,75.0,314,10.25,33.5,81.0,5.13,29.0,25,106.0,7.65,4.82,0,2300,29.908,93.511,90.791,87.647,45.406,5.5215,0,1,Round 1,0,0.08769418694217268,39,94.62809917355372,100.0
2023,CB,Secondary,Alabama,SEC,71.625,190,9.5,30.75,78.125,4.58,34.5,14,125.0,6.51,4.3,1,2181,27.296,89.526,85.539,81.093,61.676,5.366,1,1,Round 2,0,0.08444748806370476,39,95.0413223140496,100.0
2023,LB,LB,Iowa,Big Ten,76.625,249,10.25,31.875,78.25,4.65,37.5,29,128.0,6.74,4.24,1,1748,7.409,67.111,21.369,88.288,70.495,5.4848,0,1,Round 1,0,0.08137997672114647,39,95.45454545454545,100.0
2023,TE,Skill,Utah,Pac-12,76.0,246,10.25,32.625,78.375,4.67,35.0,21,120.0,7.37,4.3,0,1915,19.146,79.905,74.866,74.068,53.378,5.4553,0,0,Round 1,0,0.079304029411626,39,95.86776859504133,100.0
2024,OT,OL,Oregon St.,Pac-12,77.75,324,10.125,33.125,80.625,5.13,32.0,30,111.0,7.81,4.63,1,1722,13.996,79.392,79.074,67.781,54.727,5.5013,0,1,Round 1,0,0.07921302762279427,39,96.28099173553719,100.0
2023,QB,Skill,Tennessee,SEC,75.0,217,10.5,33.0,79.25,4.58,35.0,20,120.0,7.07,4.36,0,2000,22.728,84.959,90.062,58.984,68.61,5.2523,0,1,Round 3,0,0.07612583048042959,39,96.69421487603306,100.0
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,84.375,4.95,35.0,21,111.0,7.44,4.84,1,1866,15.277,78.168,79.322,67.958,47.09,5.4467,0,0,Round 1,0,0.07384151641093062,39,97.10743801652893,100.0
2025,IOL,OL,Ohio State,Big Ten,75.625,315,9.75,33.5,83.75,4.28,24.5,11,102.1,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,5.4596,1,1,Round 1,0,0.06835174887541845,39,97.52066115702479,100.0
2025,LB,LB,Georgia,SEC,73.0,243,10.25,32.0,79.875,4.75,24.5,11,115.3,6.88,4.03,0,1998,22.091,82.861,79.935,73.308,59.572,5.4972,1,1,Round 1,0,0.06761750182694323,39,97.93388429752066,100.0
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,76.875,4.38,41.5,14,133.0,6.89,4.26,1,1724,14.225,78.17,81.614,63.631,42.699,5.4889,0,1,Round 1,0,0.06689067525591169,39,98.34710743801654,100.0
2025,WR,Skill,Ohio State,Big Ten,72.875,202,9.5,31.5,76.625,4.54,37.82,11,125.3,7.41,4.55,0,2211,24.823,87.333,80.443,83.601,49.523,5.4806,1,1,Round 1,0,0.06613944919227034,39,98.7603305785124,100.0
2024,QB,Skill,Washington,Pac-12,74.25,216,10.5,33.625,81.0,4.79,32.5,17,112.0,7.04,4.26,0,1879,17.544,82.666,86.101,64.802,60.593,5.5255,0,1,Round 1,0,0.06601648963639424,39,99.17355371900827,100.0
2023,EDGE,DL,Clemson,ACC,77.0,268,8.5,33.75,81.25,4.62,32.0,25,117.0,7.36,4.44,1,1843,17.553,74.958,64.744,77.07,48.641,5.4424,0,1,Round 1,0,0.05584589721368188,39,99.58677685950413,100.0
2024,EDGE,DL,Alabama,SEC,74.75,247,9.875,34.375,83.0,4.46,40.5,23,127.0,7.39,4.31,1,2032,24.925,84.968,76.211,80.844,61.941,5.4889,0,1,Round 1,0,0.043043436667532756,39,100.0,100.0
