Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,LB,LB,Big 12,74.375,240,9.5,74.375,4.62,33.5,18,121.0,7.44,4.44,1,23.196,86.583,1,0,Rounds 6-7,0,0.35155226658480754,29,28.512396694214875,43.93939393939394
2023,TE,Skill,ACC,75.75,247,8.75,79.375,4.7,35.5,20,115.0,7.42,4.3,1,7.586,64.28,0,0,Undrafted,1,0.35044183599472023,30,28.92561983471074,45.45454545454545
2023,K,Special Teams,Big Ten,73.0,209,9.5,75.875,4.58,34.0,20,121.0,7.27,4.44,0,23.62,85.085,1,0,Rounds 4-5,0,0.3484331731055855,30,29.338842975206614,45.45454545454545
2024,IOL,OL,Big Ten,76.125,308,9.875,80.625,5.01,26.5,28,112.0,7.64,4.61,1,8.085,66.299,0,0,Undrafted,1,0.34750542315393484,31,29.75206611570248,46.96969696969697
2023,EDGE,DL,Mountain West,76.0,276,9.0,77.375,4.74,34.0,24,118.0,7.5,4.52,1,-5.871,37.879,0,0,Rounds 4-5,0,0.34656454864102904,31,30.165289256198346,46.96969696969697
2023,WR,Skill,AAC,68.625,182,8.625,70.375,4.4,37.5,14,124.0,6.92,4.29,1,6.451,60.989,0,0,Rounds 4-5,0,0.3434555525045694,31,30.57851239669421,46.96969696969697
2024,C,OL,Big Ten,73.5,298,9.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,27.625,94.395,0,0,Undrafted,1,0.33938772369332504,32,30.991735537190085,48.484848484848484
2025,LB,LB,ACC,73.875,233,9.375,75.375,4.6,40.0,26,125.0,7.28,4.03,1,4.302,57.687,0,0,Rounds 4-5,0,0.3385978801939441,32,31.40495867768595,48.484848484848484
2024,EDGE,DL,AAC,76.5,260,9.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,-14.993,22.913,0,0,Undrafted,1,0.33521508898087315,33,31.818181818181817,50.0
2024,TE,Skill,SEC,75.0,240,9.375,78.75,4.64,32.5,28,121.0,7.09,4.54,1,6.054,55.105,0,0,Undrafted,1,0.3334067149529679,34,32.231404958677686,51.515151515151516
2025,EDGE,DL,Big 12,75.75,242,9.0,81.25,5.45,32.5,21,124.0,6.65,4.97,1,9.105,70.789,0,0,Undrafted,1,0.33093435231895607,35,32.64462809917356,53.03030303030303
2025,WR,Skill,SEC,76.625,205,9.5,79.0,4.3,33.0,20,126.0,7.05,4.03,1,20.786,83.706,0,0,Rounds 4-5,0,0.32931214179097523,35,33.057851239669425,53.03030303030303
2023,IOL,OL,ACC,74.25,303,9.5,81.0,4.99,28.5,20,108.0,7.7,4.81,1,17.553,74.958,0,0,Rounds 4-5,0,0.3285364368457173,35,33.47107438016529,53.03030303030303
2024,CB,Secondary,SEC,71.375,179,8.625,74.625,4.44,33.5,15,123.0,6.94,4.58,1,15.277,78.168,0,0,Rounds 4-5,0,0.3265814076454753,35,33.88429752066116,53.03030303030303
2023,RB,Skill,Pac-12,72.375,237,9.25,76.0,4.74,30.0,20,118.0,6.84,4.32,1,19.146,79.905,0,0,Undrafted,1,0.3256161713370396,36,34.29752066115703,54.54545454545454
2024,CB,Secondary,MVFC,70.875,195,9.375,74.0,4.5,35.5,13,118.0,6.88,3.98,1,10.639,66.998,0,0,Rounds 6-7,0,0.3251033981791739,36,34.710743801652896,54.54545454545454
2025,WR,Skill,SEC,71.25,196,9.125,72.5,4.37,36.5,14,119.0,6.65,4.36,1,20.608,84.235,1,0,Rounds 4-5,0,0.3244614615754976,36,35.12396694214876,54.54545454545454
2025,WR,Skill,ACC,73.75,206,10.0,78.375,4.44,38.5,33,127.0,6.7,4.31,1,-5.299,38.36,0,0,Rounds 4-5,0,0.32212200220862586,36,35.53719008264463,54.54545454545454
2023,RB,Skill,SEC,72.25,204,9.0,76.375,4.62,35.5,20,122.0,7.11,4.57,1,29.908,93.511,0,0,Rounds 6-7,0,0.3202970725102505,36,35.9504132231405,54.54545454545454
2024,CB,Secondary,SEC,72.0,183,8.5,73.75,4.38,34.5,15,125.0,6.94,4.55,1,15.302,75.391,0,0,Rounds 4-5,0,0.31831837285258047,36,36.36363636363637,54.54545454545454
2025,IOL,OL,SEC,78.5,308,10.375,79.25,4.97,32.0,11,113.0,7.38,4.03,1,22.091,82.861,1,0,Rounds 2-3,0,0.31819670209703643,36,36.77685950413223,54.54545454545454
2024,CB,Secondary,SEC,73.0,196,8.5,74.125,4.49,38.0,15,126.0,6.94,4.25,0,14.091,72.034,1,0,Rounds 6-7,0,0.3149045240721392,36,37.1900826446281,54.54545454545454
2023,LB,LB,ACC,72.5,226,10.625,78.875,4.56,33.0,19,119.0,7.35,4.4,1,7.918,61.732,0,0,Rounds 4-5,0,0.30969358987225104,36,37.60330578512397,54.54545454545454
2023,LB,LB,Big 12,74.625,229,9.5,78.125,4.56,34.0,15,124.0,6.62,4.33,1,19.379,79.1,1,0,Rounds 2-3,0,0.3092210740347815,36,38.01652892561984,54.54545454545454
2025,RB,Skill,SEC,68.75,198,9.5,70.5,4.42,35.0,15,124.0,6.65,4.03,1,22.091,82.861,1,0,Rounds 4-5,0,0.2983156391328471,36,38.429752066115704,54.54545454545454
2025,WR,Skill,Big 12,76.125,214,9.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,10.15,66.812,0,0,Rounds 2-3,0,0.29711521138442165,36,38.84297520661157,54.54545454545454
2025,WR,Skill,FBS Independent,75.0,201,9.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,25.305,88.314,0,0,Undrafted,1,0.29515322000208766,37,39.25619834710744,56.060606060606055
2023,EDGE,DL,SEC,75.875,250,9.25,80.75,4.82,33.0,24,115.0,7.22,4.44,1,7.555,60.994,0,0,Undrafted,1,0.2945277622736586,38,39.66942148760331,57.57575757575758
2025,WR,Skill,Big 12,68.125,174,8.625,74.5,4.46,38.0,27,128.0,6.65,4.41,1,12.691,74.938,0,0,Rounds 6-7,0,0.29209419169718454,38,40.082644628099175,57.57575757575758
2024,WR,Skill,Pac-12,74.375,208,9.625,78.0,4.5,36.5,13,119.0,6.86,4.12,1,13.091,69.753,0,0,Rounds 6-7,0,0.2908625934476732,38,40.49586776859504,57.57575757575758
2025,WR,Skill,SEC,70.0,185,9.25,75.625,4.4,33.5,11,120.0,6.9,4.03,1,22.091,82.861,1,0,Rounds 6-7,0,0.2896335544270281,38,40.909090909090914,57.57575757575758
2023,OT,OL,Mountain West,77.75,309,10.75,83.625,5.24,28.5,20,104.0,7.52,4.52,1,3.797,52.954,0,0,Undrafted,1,0.2867634009001059,39,41.32231404958678,59.09090909090909
2025,RB,Skill,ACC,71.75,221,9.375,74.75,4.46,38.0,18,130.0,6.75,4.4,1,2.602,50.555,0,0,Round 1,0,0.28661560814009923,39,41.735537190082646,59.09090909090909
2025,S,Secondary,Mountain West,70.625,202,9.5,75.25,4.41,41.5,18,128.0,6.65,4.14,1,-8.417,32.498,0,0,Rounds 6-7,0,0.28490744526840295,39,42.14876033057851,59.09090909090909
2025,CB,Secondary,Big 12,70.25,191,8.375,72.625,4.41,43.0,15,123.2,6.9,4.03,1,5.283,53.294,0,0,Rounds 4-5,0,0.2845178809637866,39,42.561983471074385,59.09090909090909
2024,LB,LB,Big Ten,74.25,238,9.375,77.5,4.62,34.5,18,119.0,7.4,4.38,0,27.625,94.395,0,0,Rounds 2-3,0,0.28421288036900005,39,42.97520661157025,59.09090909090909
2023,RB,Skill,AAC,67.875,179,9.25,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1.775,54.675,0,0,Undrafted,1,0.27986789215419394,40,43.388429752066116,60.60606060606061
